config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.1094655420165509,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,at_max_depth,0,246,6852,0,0,0,0.0,{},0.00017199991270899773,0.020712758414447308,0.001771226292476058,0.004283583024516702,0.01834780164062977,0.08020621887408197,0.00643235445022583,2.3584114387631416e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04406995791941881,False,720,521,4069,2,2,2,1.0,5,5,5,False,at_max_depth,0,142,3346,0,0,0,0.0,{},1.6249250620603561e-06,0.009802060667425394,0.0009343249257653952,1.091696321964264e-05,0.010801987955346704,0.030543787172064185,0.0026547247543931007,5.691614933311939e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.09682212513871491,False,1204,809,7698,26,8,8,1.0,5,5,5,False,at_max_depth,0,277,6493,0,0,0,0.0,{},3.6249402910470963e-06,0.01839272165670991,0.001727106748148799,7.599988020956516e-05,0.02019299170933664,0.07204308873042464,0.004493711749091744,1.2708129361271858e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.010340417036786675,False,191,124,970,2,2,2,1.0,5,5,5,False,at_max_depth,0,27,779,0,0,0,0.0,{},1.334119588136673e-06,0.0022830362431705,0.00022566434927284718,1.0083895176649094e-05,0.002518115099519491,0.007093749474734068,0.000701552489772439,1.558195799589157e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.02329499996267259,False,462,205,3810,23,8,8,1.0,5,5,5,False,at_max_depth,0,121,3348,0,0,0,0.0,{},3.125052899122238e-06,0.008923508459702134,0.0008482900448143482,6.391596980392933e-05,0.009765900671482086,0.011775385355576873,0.001677297055721283,9.375857189297676e-06,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.05754862492904067,False,774,557,5346,1678,8,8,1.0,5,5,5,False,at_max_depth,0,121,4506,0,0,0,0.0,{},0.00017820904031395912,0.012465277221053839,0.000981413060799241,0.004062999971210957,0.009466441115364432,0.040910996962338686,0.0029071448370814323,2.2833002731204033e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.30885383393615484,False,4420,3158,22182,29,8,8,1.0,5,5,5,False,at_max_depth,0,904,17629,0,0,0,0.0,{},3.707828000187874e-06,0.051955437287688255,0.005150568205863237,7.758382707834244e-05,0.05751321162097156,0.23535142373293638,0.01589478156529367,1.3125361874699593e-05,False,False
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.056550457840785384,False,888,619,4730,37,8,8,1.0,5,5,5,False,at_max_depth,0,145,3783,0,0,0,0.0,{},5.417037755250931e-06,0.011492221616208553,0.0011630882509052753,0.00011162483133375645,0.01266101747751236,0.0402268988545984,0.003528833854943514,1.6665784642100334e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.04431362496688962,False,733,522,3949,2,2,2,1.0,5,5,5,False,at_max_depth,0,145,3193,0,0,0,0.0,{},2.125045284628868e-06,0.00941638695076108,0.0009425829630345106,1.316610723733902e-05,0.010427613742649555,0.031101328087970614,0.002705266233533621,6.412575021386147e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,8,,conservative,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.0008213331457227468,False,23,6,224,3,3,3,1.0,5,5,5,False,at_max_depth,0,10,194,0,0,0,0.0,{},1.6249250620603561e-06,0.0005275034345686436,5.2043236792087555e-05,1.3167038559913635e-05,0.0005737096071243286,0.0001314177643507719,8.33726953715086e-05,1.8041115254163742e-05,True,True
