config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,elapsed_ratio,target_elapsed_ratio,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.10968758398666978,0.10968758398666978,0.4387503359466791,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,recovery_streak_reset,0,246,6852,0,0,0,0.0,{},0.00016445806249976158,0.020452729193493724,0.0018434030935168266,0.004149707965552807,0.01830253889784217,0.08038269286043942,0.006659601116552949,2.8585083782672882e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04429874988272786,0.04429874988272786,0.17719499953091145,False,720,521,4069,2,2,2,1.0,5,5,5,False,recovery_wait,1,142,3346,0,0,0,0.0,{},1.2908130884170532e-06,0.009804852306842804,0.0009550834074616432,9.499955922365189e-06,0.010825938545167446,0.030637508258223534,0.0027622622437775135,6.225006654858589e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.09798024990595877,0.09798024990595877,0.3919209996238351,False,1204,809,7698,26,8,8,1.0,5,5,5,False,recovery_wait,2,277,6493,0,0,0,0.0,{},5.499925464391708e-06,0.018560240510851145,0.0018350593745708466,8.629192598164082e-05,0.02046250505372882,0.07276903674937785,0.004641208332031965,1.5707919374108315e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.01080116699449718,0.01080116699449718,0.04320466797798872,False,191,124,970,2,2,2,1.0,5,5,6,True,recovered,0,27,779,0,0,0,0.0,{},1.375097781419754e-06,0.00242029526270926,0.0002485828008502722,1.1165859177708626e-05,0.00267966091632843,0.007322611985728145,0.000768519239500165,1.7833895981311798e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.05904949991963804,0.05904949991963804,0.23619799967855215,False,1149,420,10152,23,8,8,1.0,6,6,6,False,at_max_depth,0,369,9003,0,0,0,0.0,{},3.4999102354049683e-06,0.024962281808257103,0.0024904883466660976,6.550014950335026e-05,0.027580643305554986,0.026692424435168505,0.004694849252700806,1.2582866474986076e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.06014237506315112,0.06014237506315112,0.24056950025260448,False,774,557,5346,1678,8,8,1.0,5,5,5,False,recovery_wait,1,121,4506,0,0,0,0.0,{},0.00016112509183585644,0.013100188691169024,0.0010896604508161545,0.0043497090227901936,0.009933069813996553,0.04247012338601053,0.003200348699465394,2.7999049052596092e-05,True,True
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.3079393340740353,0.3079393340740353,1.2317573362961411,False,4420,3158,22182,29,8,8,1.0,5,5,4,True,elapsed_ratio_high,0,904,17629,0,0,0,0.0,{},4.37488779425621e-06,0.05144475121051073,0.005229354137554765,7.9666031524539e-05,0.05706252274103463,0.23483945126645267,0.015940650831907988,1.2668315321207047e-05,False,False
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→20,9,20,-768.0,0.017428750172257423,0.017428750172257423,0.0697150006890297,False,289,186,2044,37,8,8,1.0,4,4,4,False,recovery_wait,1,76,1742,0,0,0,0.0,{},4.749977961182594e-06,0.004784758202731609,0.00047194957733154297,0.0001027500256896019,0.005192658398300409,0.011043540900573134,0.0010733427479863167,1.1708121746778488e-05,False,False
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,-667.0,0.013384625082835555,0.013384625082835555,0.05353850033134222,False,219,167,1008,2,2,2,1.0,4,4,4,False,recovery_wait,2,28,782,0,0,0,0.0,{},1.0409858077764511e-06,0.0023577918764203787,0.00024166423827409744,6.458954885601997e-06,0.002612910233438015,0.009894467191770673,0.0008086645975708961,6.10831193625927e-05,True,False
alpha_beta_d5_b8__conservative,alpha_beta,5,5,6,0.25,8,,conservative,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.0006500838790088892,0.0006500838790088892,0.002600335516035557,False,17,8,144,3,3,3,1.0,4,4,5,True,recovered,0,3,122,0,0,0,0.0,{},1.1669471859931946e-06,0.0003289170563220978,3.1499890610575676e-05,1.1165859177708626e-05,0.0003535831347107887,0.000206248601898551,6.154319271445274e-05,1.637614332139492e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.1086828748229891,0.1086828748229891,0.27170718705747277,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,recovery_wait,1,246,6852,0,0,0,0.0,{},0.0001682080328464508,0.020312714856117964,0.0017888739239424467,0.0041596251539886,0.01808726624585688,0.07978451461531222,0.006457844050601125,2.5416724383831024e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04337587486952543,0.04337587486952543,0.10843968717381358,False,720,521,4069,2,2,2,1.0,5,5,5,False,recovery_wait,2,142,3346,0,0,0,0.0,{},1.250067725777626e-06,0.009634680347517133,0.0009379016701132059,9.666895493865013e-06,0.010636983904987574,0.030009171226993203,0.0026605529710650444,5.824980325996876e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.09555470803752542,0.09555470803752542,0.23888677009381354,False,1204,809,7698,26,8,8,1.0,5,5,6,True,recovered,0,277,6493,0,0,0,0.0,{},3.4999102354049683e-06,0.01801205170340836,0.001729623880237341,7.291696965694427e-05,0.019813935505226254,0.07126034144312143,0.0043925149366259575,1.1499272659420967e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,-797.0,0.04449100000783801,0.04449100000783801,0.11122750001959503,False,865,572,5040,2,2,2,1.0,6,6,6,False,recovery_wait,1,186,4175,0,0,0,0.0,{},1.4998950064182281e-06,0.011715727625414729,0.0011480685789138079,1.0207993909716606e-05,0.012938577681779861,0.02846399648115039,0.003061008872464299,1.5709083527326584e-05,True,False
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.05630704201757908,0.05630704201757908,0.1407676050439477,False,1149,420,10152,23,8,8,1.0,6,6,6,False,recovery_wait,2,369,9003,0,0,0,0.0,{},3.2088719308376312e-06,0.02372658415697515,0.002299515763297677,6.562517955899239e-05,0.026119859656319022,0.025997530203312635,0.004111152142286301,9.665964171290398e-06,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.058826208813115954,0.058826208813115954,0.14706552203278989,False,774,557,5346,1678,8,8,1.0,5,5,5,False,recovery_wait,1,121,4506,0,0,0,0.0,{},0.00014904094859957695,0.012683922657743096,0.0010232094209641218,0.004095874959602952,0.009697577683255076,0.04180430923588574,0.0030537790153175592,2.562697045505047e-05,True,True
