agent,risk_level,turns,mean_elapsed_time_sec,median_elapsed_time_sec,p95_elapsed_time_sec,max_elapsed_time_sec,mean_nodes_searched,median_nodes_searched,p95_nodes_searched,max_nodes_searched,mean_leaf_evaluations,mean_ordering_evaluations,mean_completed_root_moves,mean_cutoff_count,mean_root_candidate_count,mean_opponent_legal_word_count,mean_opponent_safe_word_count,mean_opponent_active_edge_type_count,mean_opponent_safe_edge_type_count,mean_opponent_destination_count,mean_opponent_safe_destination_count,mean_own_safe_word_count,mean_own_safe_edge_type_count,mean_own_safe_destination_count,mean_attack_score,mean_survival_score,mean_survival_weight,mean_total_score,time_per_node_sec,timeout_rate,win_rate_from_position
alpha_beta,caution,102,0.0753622156862745,0.0382445,0.219169,0.504335,754.6764705882352,447.5,1933.0,3566.0,507.47058823529414,4898.578431372549,6.754901960784314,153.2058823529412,7.284313725490196,128.3921568627451,113.34313725490196,25.823529411764707,25.029411764705884,25.823529411764707,25.029411764705884,7.970588235294118,6.5588235294117645,6.5588235294117645,-2660.122549019608,268.1807060163888,0.35,-2566.2593019138717,9.986029593255127e-05,0.0,0.46078431372549017
alpha_beta,danger,57,0.06029138596491228,0.034132,0.180703,0.237696,643.9122807017544,513.0,1676.0,1984.0,445.94736842105266,3630.4912280701756,3.982456140350877,131.24561403508773,3.982456140350877,164.5438596491228,139.56140350877192,25.614035087719298,24.87719298245614,25.614035087719298,24.87719298245614,3.8596491228070176,3.56140350877193,3.56140350877193,49354.245614035084,221.63540036671634,0.7578947368421053,49531.55393432846,9.363291829005802e-05,0.0,0.5087719298245614
alpha_beta,near_death,46,0.029371304347826088,0.013028999999999999,0.124804,0.141798,399.6304347826087,231.0,1963.0,1963.0,261.9130434782609,2177.086956521739,1.6956521739130435,90.58695652173913,1.6956521739130435,148.1304347826087,123.78260869565217,21.76086956521739,21.02173913043478,21.76086956521739,21.02173913043478,1.434782608695652,1.391304347826087,1.391304347826087,-89873.69565217392,197.7725055946984,1.3695652173913044,-89577.03689378186,7.34961649349943e-05,0.0,0.391304347826087
alpha_beta,normal,1985,0.14038494357682618,0.119985,0.321977,0.7955,1194.55919395466,1028.0,2543.0,6767.0,837.4503778337531,10722.535516372796,7.9894206549118385,233.9662468513854,57.196977329974814,94.92392947103275,79.79899244332493,23.59596977329975,22.63778337531486,23.59596977329975,22.63778337531486,249.53098236775818,55.46045340050378,33.214105793450884,14155.470025188917,0.0,0.0,14155.470025188917,0.00011752029057017544,0.0,0.7581863979848866
beam_negamax,caution,174,0.09549492528735631,0.085503,0.181661,0.281935,1011.9252873563219,1007.0,1400.0,1400.0,537.051724137931,8445.729885057472,6.735632183908046,0.0,7.224137931034483,203.367816091954,175.78735632183907,33.729885057471265,32.81609195402299,33.729885057471265,32.81609195402299,7.936781609195402,6.431034482758621,6.431034482758621,-4105.922413793103,288.77699138779764,0.35,-4004.8504668073742,9.43695413886128e-05,0.0,0.23563218390804597
beam_negamax,danger,128,0.0539905859375,0.049774,0.110229,0.1338,555.328125,525.0,875.0,875.0,290.0234375,4550.5078125,4.328125,0.0,4.328125,230.5859375,198.3125,32.8515625,32.03125,32.8515625,32.03125,4.0703125,3.7421875,3.7421875,26656.83984375,267.73457637152404,0.775,26871.027504847218,9.722285529388594e-05,0.0,0.2734375
beam_negamax,near_death,85,0.012262623529411766,0.008983,0.029974,0.045691,168.0235294117647,149.0,343.0,350.0,80.87058823529412,1331.894117647059,1.8705882352941177,0.0,1.8705882352941177,259.90588235294115,214.0,28.58823529411765,27.858823529411765,28.58823529411765,27.858823529411765,1.2705882352941176,1.2588235294117647,1.2588235294117647,-181465.28235294117,195.02283840731337,1.2,-181172.7480953302,7.298158521215517e-05,0.0,0.21176470588235294
beam_negamax,normal,1742,0.1217217950631458,0.104017,0.239117,1.0009,1334.9293915040184,1400.0,1400.0,1400.0,720.7858783008037,13899.698048220436,7.986222732491389,0.0,56.972445464982776,110.5126291618829,94.04707233065442,26.884041331802525,25.9150401836969,26.884041331802525,25.9150401836969,237.6768082663605,55.134328358208954,29.784730195177957,7462.661308840414,0.0,0.0,7462.661308840414,9.118219722917788e-05,0.000574052812858783,0.2755453501722158
greedy,,1166,0.0002044073756432247,4e-05,0.000214,0.01415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimax,caution,63,0.025792079365079365,0.025138,0.040052,0.049114,393.92063492063494,382.0,554.0,559.0,331.74603174603175,708.6349206349206,6.936507936507937,0.0,7.492063492063492,22.11111111111111,19.206349206349206,10.952380952380953,10.365079365079366,10.952380952380953,10.365079365079366,8.079365079365079,6.9523809523809526,6.9523809523809526,-515.3730158730159,190.57516023935747,0.35,-448.67170978924077,6.547531933755087e-05,0.0,0.5714285714285714
