agent,ply_and_width,use_count
dynamic_beam_pvs,7:2,637874
dynamic_beam_pvs,7:3,7269
dynamic_beam_pvs,7:4,11477
dynamic_beam_pvs,7:5,18600
dynamic_beam_pvs,7:6,23828
dynamic_beam_pvs,7:7,11755
dynamic_beam_pvs,7:8,8624
dynamic_beam_pvs,8:1,40243
dynamic_beam_pvs,8:2,534398
dynamic_beam_pvs,8:3,6407
dynamic_beam_pvs,8:4,8111
dynamic_beam_pvs,8:5,11767
dynamic_beam_pvs,8:6,18482
dynamic_beam_pvs,8:7,6577
dynamic_beam_pvs,8:8,5975
dynamic_proof_extension_beam_alpha_beta,0:1,11
dynamic_proof_extension_beam_alpha_beta,0:10,296
dynamic_proof_extension_beam_alpha_beta,0:11,30
dynamic_proof_extension_beam_alpha_beta,0:12,615
dynamic_proof_extension_beam_alpha_beta,0:2,11
dynamic_proof_extension_beam_alpha_beta,0:3,12
dynamic_proof_extension_beam_alpha_beta,0:4,16
dynamic_proof_extension_beam_alpha_beta,0:5,24
dynamic_proof_extension_beam_alpha_beta,0:6,97
dynamic_proof_extension_beam_alpha_beta,0:7,37
dynamic_proof_extension_beam_alpha_beta,0:8,498
dynamic_proof_extension_beam_alpha_beta,0:9,31
dynamic_proof_extension_beam_alpha_beta,1:1,10
dynamic_proof_extension_beam_alpha_beta,1:2,27
dynamic_proof_extension_beam_alpha_beta,1:3,40
dynamic_proof_extension_beam_alpha_beta,1:4,47
dynamic_proof_extension_beam_alpha_beta,1:5,58
dynamic_proof_extension_beam_alpha_beta,1:6,437
dynamic_proof_extension_beam_alpha_beta,1:7,163
dynamic_proof_extension_beam_alpha_beta,1:8,14906
dynamic_proof_extension_beam_alpha_beta,2:1,1848
dynamic_proof_extension_beam_alpha_beta,2:2,641
dynamic_proof_extension_beam_alpha_beta,2:3,342
dynamic_proof_extension_beam_alpha_beta,2:4,49940
dynamic_proof_extension_beam_alpha_beta,2:5,718
dynamic_proof_extension_beam_alpha_beta,2:6,809
dynamic_proof_extension_beam_alpha_beta,2:7,893
dynamic_proof_extension_beam_alpha_beta,2:8,490
dynamic_proof_extension_beam_alpha_beta,3:1,3303
dynamic_proof_extension_beam_alpha_beta,3:2,142280
dynamic_proof_extension_beam_alpha_beta,3:3,662
dynamic_proof_extension_beam_alpha_beta,3:4,1273
dynamic_proof_extension_beam_alpha_beta,3:5,1907
dynamic_proof_extension_beam_alpha_beta,3:6,2243
dynamic_proof_extension_beam_alpha_beta,3:7,2408
dynamic_proof_extension_beam_alpha_beta,3:8,1143
dynamic_proof_extension_beam_alpha_beta,4:1,8169
dynamic_proof_extension_beam_alpha_beta,4:2,203722
dynamic_proof_extension_beam_alpha_beta,4:3,3088
dynamic_proof_extension_beam_alpha_beta,4:4,3530
dynamic_proof_extension_beam_alpha_beta,4:5,6425
dynamic_proof_extension_beam_alpha_beta,4:6,8886
dynamic_proof_extension_beam_alpha_beta,4:7,6478
dynamic_proof_extension_beam_alpha_beta,4:8,3743
dynamic_proof_extension_beam_alpha_beta,5:1,9366
dynamic_proof_extension_beam_alpha_beta,5:2,368828
dynamic_proof_extension_beam_alpha_beta,5:3,5070
dynamic_proof_extension_beam_alpha_beta,5:4,4616
dynamic_proof_extension_beam_alpha_beta,5:5,8885
dynamic_proof_extension_beam_alpha_beta,5:6,14594
dynamic_proof_extension_beam_alpha_beta,5:7,7122
dynamic_proof_extension_beam_alpha_beta,5:8,5607
dynamic_proof_extension_beam_alpha_beta,6:1,22822
dynamic_proof_extension_beam_alpha_beta,6:2,309188
dynamic_proof_extension_beam_alpha_beta,6:3,9981
dynamic_proof_extension_beam_alpha_beta,6:4,8772
dynamic_proof_extension_beam_alpha_beta,6:5,14252
dynamic_proof_extension_beam_alpha_beta,6:6,13794
dynamic_proof_extension_beam_alpha_beta,6:7,6111
dynamic_proof_extension_beam_alpha_beta,6:8,5292
dynamic_proof_extension_beam_alpha_beta,7:1,26625
dynamic_proof_extension_beam_alpha_beta,7:2,278928
dynamic_proof_extension_beam_alpha_beta,7:3,4690
dynamic_proof_extension_beam_alpha_beta,7:4,2967
dynamic_proof_extension_beam_alpha_beta,7:5,5356
dynamic_proof_extension_beam_alpha_beta,7:6,6020
dynamic_proof_extension_beam_alpha_beta,7:7,2954
dynamic_proof_extension_beam_alpha_beta,7:8,1943
dynamic_proof_extension_beam_alpha_beta,8:1,35037
dynamic_proof_extension_beam_alpha_beta,8:2,180711
dynamic_proof_extension_beam_alpha_beta,8:3,2822
dynamic_proof_extension_beam_alpha_beta,8:4,1055
dynamic_proof_extension_beam_alpha_beta,8:5,2099
dynamic_proof_extension_beam_alpha_beta,8:6,2686
dynamic_proof_extension_beam_alpha_beta,8:7,1790
dynamic_proof_extension_beam_alpha_beta,8:8,642
research_adaptive_beam,0:1,39
research_adaptive_beam,0:10,487
research_adaptive_beam,0:11,46
research_adaptive_beam,0:12,922
research_adaptive_beam,0:2,37
research_adaptive_beam,0:3,61
research_adaptive_beam,0:4,66
research_adaptive_beam,0:5,69
research_adaptive_beam,0:6,123
research_adaptive_beam,0:7,88
research_adaptive_beam,0:8,1021
research_adaptive_beam,0:9,49
research_adaptive_beam,1:1,21
research_adaptive_beam,1:2,53
research_adaptive_beam,1:3,60
research_adaptive_beam,1:4,94
research_adaptive_beam,1:5,84
research_adaptive_beam,1:6,1114
research_adaptive_beam,1:7,206
research_adaptive_beam,1:8,27255
research_adaptive_beam,2:1,1330
research_adaptive_beam,2:2,1762
research_adaptive_beam,2:3,2057
research_adaptive_beam,2:4,98932
research_adaptive_beam,2:5,1026
research_adaptive_beam,2:6,1424
research_adaptive_beam,2:7,1294
research_adaptive_beam,2:8,936
research_adaptive_beam,3:1,2836
research_adaptive_beam,3:2,239902
research_adaptive_beam,3:3,3807
research_adaptive_beam,3:4,4808
research_adaptive_beam,3:5,2234
research_adaptive_beam,3:6,3955
research_adaptive_beam,3:7,3379
research_adaptive_beam,3:8,2223
research_adaptive_beam,4:1,7002
research_adaptive_beam,4:2,360952
research_adaptive_beam,4:3,11285
research_adaptive_beam,4:4,10640
research_adaptive_beam,4:5,7290
research_adaptive_beam,4:6,10491
research_adaptive_beam,4:7,8876
research_adaptive_beam,4:8,5518
