dictionary_size,exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
10000,,beam_negamax,0.3880064138773315,improved_adaptive_beam_negamax,0,False,ended_with_n,D10000_seed1_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,alpha_beta,0.31340506989675176,improved_adaptive_alpha_beta,2,1,57,second
10000,,beam_negamax,0.4050063055685975,improved_adaptive_beam_negamax,0,False,ended_with_n,D10000_seed1_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,pvs,0.293339363503919,improved_adaptive_pvs,1,1,66,first
10000,,beam_negamax,0.4141242456374472,improved_adaptive_beam_negamax,0,False,ended_with_n,D10000_seed1_improved_adaptive_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,beam_negamax,0.18167097614352384,improved_fixed_beam_negamax,0,1,154,first
10000,,pvs,0.30777543892119347,improved_adaptive_pvs,1,False,ended_with_n,D10000_seed1_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,alpha_beta,0.2976927128534212,improved_adaptive_alpha_beta,1,1,55,second
10000,,pvs,0.39103142218886033,improved_adaptive_pvs,3,False,ended_with_n,D10000_seed1_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,beam_negamax,0.40483258218681883,improved_adaptive_beam_negamax,1,1,210,first
10000,,pvs,0.30254784512978333,improved_adaptive_pvs,1,False,ended_with_n,D10000_seed1_improved_adaptive_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,pvs,0.10013132470731552,improved_fixed_pvs,0,1,78,first
10000,,alpha_beta,0.12266328655951247,improved_fixed_alpha_beta,0,False,ended_with_n,D10000_seed1_improved_fixed_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,alpha_beta,0.33574116297781337,improved_adaptive_alpha_beta,1,1,113,second
10000,,beam_negamax,0.19468552452911222,improved_fixed_beam_negamax,0,False,ended_with_n,D10000_seed1_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,beam_negamax,0.40318685077892785,improved_adaptive_beam_negamax,0,1,111,second
10000,,pvs,0.11039877485018224,improved_fixed_pvs,0,False,ended_with_n,D10000_seed1_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed1.runtime.json,pvs,0.2945102756136968,improved_adaptive_pvs,1,1,63,second
10000,,alpha_beta,0.38341966157836116,improved_adaptive_alpha_beta,2,False,ended_with_n,D10000_seed2_improved_adaptive_alpha_beta_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_negamax,0.38982201438416175,improved_adaptive_beam_negamax,0,2,98,first
10000,,alpha_beta,0.41055666064938245,improved_adaptive_alpha_beta,3,False,ended_with_n,D10000_seed2_improved_adaptive_alpha_beta_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,pvs,0.3843321413454464,improved_adaptive_pvs,4,2,235,second
10000,,alpha_beta,0.3946112595918634,improved_adaptive_alpha_beta,2,False,ended_with_n,D10000_seed2_improved_adaptive_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,alpha_beta,0.14865254925262236,improved_fixed_alpha_beta,0,2,285,second
10000,,beam_negamax,0.3019499406195476,improved_adaptive_beam_negamax,1,False,ended_with_n,D10000_seed2_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,alpha_beta,0.3895949037512764,improved_adaptive_alpha_beta,2,2,201,second
10000,,beam_negamax,0.4041817615895222,improved_adaptive_beam_negamax,0,False,ended_with_n,D10000_seed2_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,pvs,0.3472779818836881,improved_adaptive_pvs,0,2,107,second
10000,,beam_negamax,0.38794226136030346,improved_adaptive_beam_negamax,0,False,ended_with_n,D10000_seed2_improved_adaptive_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_negamax,0.17001278910814135,improved_fixed_beam_negamax,0,2,330,first
10000,,pvs,0.37592214407407465,improved_adaptive_pvs,1,False,ended_with_n,D10000_seed2_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,alpha_beta,0.37820347344741817,improved_adaptive_alpha_beta,1,2,227,second
10000,,pvs,0.34494929639831856,improved_adaptive_pvs,3,False,ended_with_n,D10000_seed2_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_negamax,0.4097760890303603,improved_adaptive_beam_negamax,0,2,177,second
10000,,pvs,0.3865910721014834,improved_adaptive_pvs,5,False,ended_with_n,D10000_seed2_improved_adaptive_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,pvs,0.1475667862075442,improved_fixed_pvs,0,2,275,second
10000,,alpha_beta,0.11488477691241047,improved_fixed_alpha_beta,0,False,ended_with_n,D10000_seed2_improved_fixed_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,alpha_beta,0.35319755283896537,improved_adaptive_alpha_beta,1,2,68,first
10000,,beam_negamax,0.2006800961336756,improved_fixed_beam_negamax,0,False,ended_with_n,D10000_seed2_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_negamax,0.42569294457842427,improved_adaptive_beam_negamax,0,2,352,first
10000,,pvs,0.11195975417504087,improved_fixed_pvs,0,False,ended_with_n,D10000_seed2_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,pvs,0.297935235418845,improved_adaptive_pvs,1,2,80,first
