agent,opponent,games,wins,losses,draws,win_rate,first_games,first_win_rate,second_games,second_win_rate,mean_turns,median_turns,p95_turns,min_turns,max_turns,mean_time_sec
alpha_beta,beam_negamax,14,12,2,0,0.8571428571428571,7,0.7142857142857143,7,1.0,112.78571428571429,86.5,285.0,24,285,0.0851565663497289
alpha_beta,pvs,14,7,7,0,0.5,7,0.42857142857142855,7,0.5714285714285714,129.85714285714286,61.0,321.0,27,321,0.09163609133624522
beam_negamax,alpha_beta,14,2,12,0,0.14285714285714285,7,0.0,7,0.2857142857142857,112.78571428571429,86.5,285.0,24,285,0.07517032782594649
beam_negamax,pvs,14,2,12,0,0.14285714285714285,7,0.0,7,0.2857142857142857,112.78571428571429,86.5,285.0,24,285,0.07660732117937517
pvs,alpha_beta,14,7,7,0,0.5,7,0.42857142857142855,7,0.5714285714285714,129.85714285714286,61.0,321.0,27,321,0.10351680933757317
pvs,beam_negamax,14,12,2,0,0.8571428571428571,7,0.7142857142857143,7,1.0,112.78571428571429,86.5,285.0,24,285,0.09413160327788346
