agent,games,wins,losses,draws,win_rate,first_games,first_win_rate,second_games,second_win_rate,mean_turns,median_turns,p95_turns,min_turns,max_turns,mean_time_sec
alpha_beta,48,35,13,0,0.7291666666666666,24,0.6666666666666666,24,0.7916666666666666,91.35416666666667,59.0,285.0,4,321,0.0827352087947345
beam_negamax,48,22,26,0,0.4583333333333333,24,0.375,24,0.5416666666666666,88.58333333333333,61.0,215.0,4,285,0.07448037703407949
greedy,48,0,48,0,0.0,24,0.0,24,0.0,48.020833333333336,37.0,100.0,4,105,0.00023633695166208613
minimax,24,16,8,0,0.6666666666666666,12,0.6666666666666666,12,0.6666666666666666,43.875,44.0,72.0,4,90,0.02546979788037694
pvs,48,35,13,0,0.7291666666666666,24,0.6666666666666666,24,0.7916666666666666,91.35416666666667,59.0,285.0,4,321,0.09195133451897246
