left_agent,right_agent,games,left_wins,right_wins,draws,left_decisive_win_rate,ci95_low,ci95_high,two_sided_binomial_p,seed_cluster_count,left_mean_seed_score,seed_bootstrap_ci95_low,seed_bootstrap_ci95_high
beam_alpha_beta,dynamic_beam_alpha_beta,2,2,0,0,1.0,0.34238022750665303,1.0,0.5,1,1.0,1.0,1.0
beam_alpha_beta,dynamic_beam_pvs,2,2,0,0,1.0,0.34238022750665303,1.0,0.5,1,1.0,1.0,1.0
