agent_name,dict_size,match_count,win_count,loss_count,draw_count,win_rate,average_turn_count,average_used_word_count,average_time_per_move_sec,max_time_sec,timeout_count,timeout_count_per_match
alpha_beta,50000,2,2,0,0,1.000000,218.500000,218.500000,0.085144,0.200014,8,4.000000
greedy,50000,2,0,2,0,0.000000,218.500000,218.500000,0.000054,0.005895,0,0.000000
