dict_size,rank,end_char,move_count,move_rate,ended_with_n_count,average_elapsed_time_sec
20000,1,る,504,0.154034,0,0.064314
20000,2,む,342,0.104523,0,0.047370
20000,3,や,278,0.084963,0,0.040407
20000,4,う,234,0.071516,0,0.030741
20000,5,ぐ,214,0.065403,0,0.054413
20000,6,ず,214,0.065403,0,0.053414
20000,7,つ,196,0.059902,0,0.034008
20000,8,ら,120,0.036675,0,0.037260
20000,9,い,108,0.033007,0,0.027458
20000,10,ぎ,108,0.033007,0,0.036626
20000,11,ね,90,0.027506,0,0.054899
20000,12,ざ,74,0.022616,0,0.037606
20000,13,よ,68,0.020782,0,0.039151
20000,14,す,64,0.019560,0,0.030783
20000,15,ぷ,58,0.017726,0,0.037902
20000,16,ど,54,0.016504,0,0.027238
20000,17,び,42,0.012836,0,0.036757
20000,18,げ,40,0.012225,0,0.043880
20000,19,と,32,0.009780,0,0.034121
20000,20,ば,28,0.008557,0,0.028295
