component,mean_time_sec,median_time_sec,p95_time_sec,total_time_sec
evaluation_time_sec,0.057507111607601,0.01578577107284218,0.038276375038549304,57.277083161170594
scc_time_sec,0.02127891274269139,0.007463997812010348,0.017688787542283535,21.193797091720626
reachability_time_sec,0.0012826693826822571,0.00041543913539499044,0.0010316274128854275,1.2775387051515281
local_time_sec,0.0024897290740150914,0.0008275827276520431,0.0020645001204684377,2.479770157719031
