agent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
alpha_beta,60,53,7,0,0.8833333333333333,0.7782121197582914,0.9423227935994396,43.55,0.11100368303914045,0,0,1239.3453568687644,6566.859554873369
beam_negamax,60,46,14,0,0.7666666666666667,0.6456372962239805,0.8556043826335717,58.9,0.08661021995464853,0,0,1112.9433106575964,7591.140589569161
graph_control,60,26,34,0,0.43333333333333335,0.3157239680468677,0.5589656122387444,22.566666666666666,0.0563700634218289,15,0,0.0,87.90265486725664
greedy,60,24,36,0,0.4,0.2856949053488255,0.5263394650795924,22.566666666666666,0.0004338808823529412,0,0,0.0,0.0
minimax,60,52,8,0,0.8666666666666667,0.7583484032350039,0.9308589051941303,49.333333333333336,0.04497105352303523,0,0,496.41937669376694,1336.0738482384825
monte_carlo,180,16,164,0,0.08888888888888889,0.05545460269973843,0.13950391781358787,30.272222222222222,0.20415015978062157,0,0,0.0,0.0
pvs,60,53,7,0,0.8833333333333333,0.7782121197582914,0.9423227935994396,43.56666666666667,0.1218911742133538,0,0,1375.831926323868,7992.200306983883
