feature,selected_mean,not_selected_mean,difference
dangerous_word_count,0.0007758700533576584,0.0025437040498604104,-0.0017678339965027522
dead_end_reach_rate,0.09347934642494411,0.05484265113182653,0.038636695293117584
depth2_char_count,0.7365343727852587,0.9187453844662109,-0.18221101168095222
depth3_char_count,0.8969111741081975,0.9447094148074486,-0.04779824069925109
destination_concentration,0.2897269717124915,0.11939273491879533,0.1703342367936962
destination_count,0.15207890385069692,0.4015223834208394,-0.24944347957014248
legal_word_count,0.004472471888876413,0.017590507538841456,-0.013118035649965044
low_out_degree_reach_rate,0.11171866197053155,0.061167525836778876,0.05055113613375268
reachable_char_count,0.8989192062367116,0.9448615519424255,-0.04594234570571387
reachable_edge_count,0.909857401311065,0.9527742678252509,-0.042916866514185914
safe_word_count,0.0036966018355187543,0.015046803488981044,-0.01135020165346229
scc_exit_edge_count,0.13142110288772132,0.14347832385394257,-0.01205722096622125
scc_internal_edge_count,0.7326445633035605,0.8090970692958626,-0.07645250599230202
scc_vertex_count,0.8392688400661469,0.9300552786688719,-0.09078643860272506
