agent,move_count,mean_time_sec,median_time_sec,p95_time_sec,max_time_sec,timeout_count
alpha_beta,1812,0.11919846247240619,0.10315350000000001,0.273025,0.568913,0
beam_negamax,2408,0.09162975747508305,0.0895605,0.157565,0.23098,0
graph_control,996,0.05754283333333333,0.0158045,0.038297,1.022583,24
greedy,1015,0.0004445665024630542,0.000104,0.000332,0.021308,0
minimax,1805,0.04444898448753463,0.043461,0.065879,0.088295,0
monte_carlo,5460,0.24724456373626374,0.248315,0.538476,0.988525,0
pvs,1845,0.12477532249322493,0.099731,0.312332,0.597445,0
random,5438,2.7253585877160722e-05,1.1e-05,2.5e-05,0.008267,0
