dict_size,dictionary_seed,agent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
5000,0,alpha_beta,30,28,2,0,0.9333333333333333,0.7867654163738308,0.9815229762087295,31.7,0.11645975933609957,0,0,1154.298755186722,5931.809128630705
5000,0,beam_negamax,30,25,5,0,0.8333333333333334,0.6643564949358398,0.9266345762815145,52.666666666666664,0.09637208176100628,0,0,1196.77106918239,8118.994968553459
5000,0,graph_control,30,17,13,0,0.5666666666666667,0.3919730700081361,0.7262251442353347,22.0,0.060212567975830814,15,0,0.0,85.85196374622356
5000,0,greedy,30,20,10,0,0.6666666666666666,0.4878005164454384,0.8076950191632386,22.1,0.0003555928143712575,0,0,0.0,0.0
5000,0,minimax,30,27,3,0,0.9,0.7437891742081593,0.9654001112526658,33.0,0.04725750898203593,0,0,495.1337325349301,1376.4451097804392
5000,0,monte_carlo,70,13,57,0,0.18571428571428572,0.11187300001902034,0.29225578206743313,51.91428571428571,0.2395903272425249,0,0,0.0,0.0
5000,0,pvs,30,28,2,0,0.9333333333333333,0.7867654163738308,0.9815229762087295,31.5,0.11698403347280335,0,0,1149.0878661087866,6684.70920502092
5000,0,random,70,2,68,0,0.02857142857142857,0.007870611945441225,0.09832256118423902,50.957142857142856,2.406900452488688e-05,0,0,0.0,0.0
5000,1,alpha_beta,30,28,2,0,0.9333333333333333,0.7867654163738308,0.9815229762087295,51.63333333333333,0.11100666276041667,0,0,1206.15625,6417.229166666667
5000,1,beam_negamax,30,25,5,0,0.8333333333333334,0.6643564949358398,0.9266345762815145,71.4,0.0871661416510319,0,0,1076.3217636022514,7246.808630393996
5000,1,graph_control,30,16,14,0,0.5333333333333333,0.36142299619873297,0.6976761109230025,18.633333333333333,0.05812803225806452,2,0,0.0,106.83870967741936
5000,1,greedy,30,16,14,0,0.5333333333333333,0.36142299619873297,0.6976761109230025,19.7,0.000595135593220339,0,0,0.0,0.0
5000,1,minimax,30,27,3,0,0.9,0.7437891742081593,0.9654001112526658,43.6,0.04152206481481482,0,0,451.22067901234567,1260.442901234568
5000,1,monte_carlo,70,19,51,0,0.2714285714285714,0.1811959968818828,0.38544311736281056,49.65714285714286,0.2060218018327606,0,0,0.0,0.0
5000,1,pvs,30,28,2,0,0.9333333333333333,0.7867654163738308,0.9815229762087295,52.43333333333333,0.12377015384615384,0,0,1438.126923076923,8392.658974358974
5000,1,random,70,1,69,0,0.014285714285714285,0.002526246457890312,0.07658187131208327,45.94285714285714,3.4192615384615384e-05,0,0,0.0,0.0
5000,2,alpha_beta,30,27,3,0,0.9,0.7437891742081593,0.9654001112526658,37.86666666666667,0.1327418024911032,0,0,1427.6227758007117,7207.496441281139
5000,2,beam_negamax,30,26,4,0,0.8666666666666667,0.703186733179637,0.9469034451594526,36.833333333333336,0.09343609506398537,0,0,1197.8043875685557,8074.2285191956125
5000,2,graph_control,30,20,10,0,0.6666666666666666,0.4878005164454384,0.8076950191632386,25.9,0.054830520725388604,7,0,0.0,85.12953367875647
5000,2,greedy,30,18,12,0,0.6,0.42320360253322475,0.7540937188319815,25.833333333333332,0.0004064818652849741,0,0,0.0,0.0
5000,2,minimax,30,28,2,0,0.9333333333333333,0.7867654163738308,0.9815229762087295,44.166666666666664,0.04519528506097561,0,0,534.6783536585366,1404.939024390244
5000,2,monte_carlo,70,12,58,0,0.17142857142857143,0.10087724640529248,0.2761664803214543,54.18571428571428,0.29221232756813414,0,0,0.0,0.0
5000,2,pvs,30,27,3,0,0.9,0.7437891742081593,0.9654001112526658,39.53333333333333,0.1324555059625213,0,0,1438.0289608177172,7918.657580919932
5000,2,random,70,2,68,0,0.02857142857142857,0.007870611945441225,0.09832256118423902,57.957142857142856,2.4492909535452323e-05,0,0,0.0,0.0
