agent,opponent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
pvs,greedy,6,6,0,0,1.0,0.6096657120978346,1.0,19.166666666666668,0.12270208771929825,0,0,1088.2280701754387,6295.877192982456
pvs,minimax,6,3,3,0,0.5,0.1876163064826506,0.8123836935173494,97.33333333333333,0.13100345547945205,0,0,1425.4041095890411,8690.332191780823
pvs,monte_carlo,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,29.466666666666665,0.1035551138952164,0,0,1143.125284738041,6269.851936218679
pvs,random,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,36.333333333333336,0.1317089852398524,0,0,1332.8726937269373,7335.756457564576
random,alpha_beta,30,0,30,0,0.0,0.0,0.11351339317396876,34.1,3.902918287937743e-05,0,0,0.0,0.0
random,beam_negamax,30,0,30,0,0.0,0.0,0.11351339317396876,43.1,3.277195685670262e-05,0,0,0.0,0.0
random,graph_control,30,3,27,0,0.1,0.03459988874733419,0.25621082579184085,21.4,6.910493827160494e-05,0,0,0.0,0.0
random,greedy,30,0,30,0,0.0,0.0,0.11351339317396876,22.5,5.314705882352941e-05,0,0,0.0,0.0
random,minimax,30,0,30,0,0.0,0.0,0.11351339317396876,22.1,3.703892215568862e-05,0,0,0.0,0.0
random,monte_carlo,30,2,28,0,0.06666666666666667,0.018477023791270378,0.2132345836261692,181.8,1.3005496518871382e-05,0,0,0.0,0.0
random,pvs,30,0,30,0,0.0,0.0,0.11351339317396876,36.333333333333336,3.385401459854014e-05,0,0,0.0,0.0
