feature,winning_turn_candidate_mean,losing_turn_candidate_mean,difference
dangerous_word_count,0.00252998601483583,0.0025167249082992996,1.3261106536530554e-05
dead_end_reach_rate,0.054773351042835254,0.05593524109335571,-0.0011618900505204546
depth2_char_count,0.9176412360421211,0.9155425457086577,0.0020986903334634377
depth3_char_count,0.9447348058998213,0.9434399703387697,0.0012948355610515883
destination_concentration,0.1209523817892678,0.121668083930464,-0.0007157021411961922
destination_count,0.398211622271691,0.3995893353839863,-0.0013777131122952868
legal_word_count,0.01743963124316594,0.017457191585661704,-1.7560342495764186e-05
low_out_degree_reach_rate,0.06203640472247556,0.06128956526213615,0.0007468394603394116
reachable_char_count,0.944870017602716,0.9436631161685748,0.001206901434141261
reachable_edge_count,0.9530781038159379,0.9512515248140482,0.001826579001889761
safe_word_count,0.01490964522833011,0.014940466677362407,-3.0821449032297776e-05
scc_exit_edge_count,0.1438299881685749,0.1426876558940271,0.001142332274547797
scc_internal_edge_count,0.808587938558134,0.8078156893759089,0.000772249182225182
scc_vertex_count,0.9293422272586793,0.9286814484567464,0.0006607788019329375
