alpha_beta_agreement,alpha_beta_end_id,alpha_beta_is_reference_not_ground_truth,alpha_beta_start_id,alpha_beta_timed_out,graph_end_id,graph_start_id,greedy_agreement,greedy_end_id,greedy_start_id,match_id,remaining_bin,remaining_word_rate,turn
True,10,True,55,False,10,55,True,10,55,D5000_seed0_random_vs_graph_control_rep3,80-100%,0.9974,14
True,63,True,1,False,63,1,True,63,1,D5000_seed0_random_vs_graph_control_rep3,80-100%,0.997,16
True,63,True,59,False,63,59,True,63,59,D5000_seed0_random_vs_graph_control_rep3,80-100%,0.9966,18
True,63,True,32,False,63,32,True,63,32,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9998,2
True,63,True,19,False,63,19,True,63,19,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9994,4
True,63,True,33,False,63,33,True,63,33,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.999,6
True,63,True,2,False,63,2,True,63,2,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9986,8
True,63,True,59,False,63,59,True,63,59,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9982,10
True,10,True,55,False,10,55,True,10,55,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9978,12
True,63,True,30,False,63,30,True,63,30,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9974,14
True,63,True,59,False,63,59,True,63,59,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.997,16
True,63,True,63,False,63,63,True,63,63,D5000_seed0_random_vs_graph_control_rep4,80-100%,0.9966,18
True,63,True,63,False,63,63,True,63,63,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9994,4
False,28,True,55,False,10,55,True,10,55,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.999,6
True,63,True,46,False,63,46,True,63,46,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9986,8
True,63,True,33,False,63,33,True,63,33,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9982,10
True,63,True,59,False,63,59,True,63,59,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9978,12
True,63,True,59,False,63,59,True,63,59,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9974,14
True,63,True,2,False,63,2,True,63,2,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.997,16
True,63,True,19,False,63,19,True,63,19,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9966,18
True,20,True,20,False,20,20,True,20,20,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9998,2
True,22,True,28,False,22,28,True,22,28,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9994,4
True,63,True,32,False,63,32,True,63,32,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.999,6
True,63,True,19,False,63,19,True,63,19,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9986,8
True,10,True,55,False,10,55,True,10,55,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9982,10
True,63,True,45,False,63,45,True,63,45,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9978,12
True,63,True,59,False,63,59,True,63,59,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9974,14
True,63,True,63,False,63,63,True,63,63,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.997,16
True,63,True,33,False,63,33,True,63,33,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9966,18
True,63,True,59,False,63,59,True,63,59,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9962,20
True,63,True,2,False,63,2,True,63,2,D5000_seed0_monte_carlo_vs_graph_control_rep0,80-100%,0.9958,22
True,20,True,20,False,20,20,True,20,20,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9998,2
False,28,True,55,False,10,55,True,10,55,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9994,4
True,63,True,0,False,63,0,True,63,0,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.999,6
True,63,True,2,False,63,2,True,63,2,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9986,8
False,58,True,59,False,63,59,True,63,59,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9982,10
False,14,True,19,False,63,19,True,63,19,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9978,12
False,58,True,59,False,63,59,True,63,59,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9974,14
True,63,True,63,False,63,63,True,63,63,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.997,16
True,63,True,33,False,63,33,True,63,33,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9966,18
False,58,True,55,False,61,55,False,66,55,D5000_seed0_monte_carlo_vs_graph_control_rep1,80-100%,0.9962,20
True,63,True,35,False,63,35,True,63,35,D5000_seed0_monte_carlo_vs_graph_control_rep2,80-100%,0.9998,2
True,63,True,63,False,63,63,True,63,63,D5000_seed0_monte_carlo_vs_graph_control_rep2,80-100%,0.9994,4
True,63,True,59,False,63,59,True,63,59,D5000_seed0_monte_carlo_vs_graph_control_rep2,80-100%,0.999,6
