agent,mean_time_sec,median_time_sec,p95_time_sec,mean_nodes,timeout_rate,mean_research_rate
alpha_beta,0.0492871550985405,0.03691645851358771,0.11599575006403029,471.3333333333333,0.0,0.0
beam_negamax,0.07514281902824425,0.08069304149830714,0.1810686249518767,830.0,0.0,0.0
pvs,0.048873015278432935,0.042508166981860995,0.08546466706320643,463.6666666666667,0.0,0.010913205421106149
