agent,games,wins,losses,win_rate,first_games,first_wins,second_games,second_wins,mean_time_sec,internal_timeout_count,first_win_rate,second_win_rate
alpha_beta,48,35,13,0.7291666666666666,24,16,24,19,0.0827352087947345,0,0.6666666666666666,0.7916666666666666
beam_negamax,48,22,26,0.4583333333333333,24,9,24,13,0.07448037703407949,0,0.375,0.5416666666666666
greedy,48,0,48,0.0,24,0,24,0,0.00023633695166208613,0,0.0,0.0
minimax,24,16,8,0.6666666666666666,12,8,12,8,0.02546979788037694,0,0.6666666666666666,0.6666666666666666
pvs,48,35,13,0.7291666666666666,24,16,24,19,0.09195133451897246,0,0.6666666666666666,0.7916666666666666
