target,games,wins,losses,draws,win_rate,mean_decision_time_sec,timeout_count
full_alpha_beta,6,3,3,0,0.5,0.17439945007158794,3
selective_alpha_beta,6,3,3,0,0.5,0.03218375455223607,0
