config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate
alpha_beta_d5_b8,alpha_beta,5,5,5,1.0,8,,fixed,9,0.18800907398367095,0.18635866604745388,0.3197079999372363,0.3197079999372363,0.3197079999372363,0.3197079999372363,0,0.0,2065.4444444444443,2235,2930,5.0,523.2222222222222,7.888888888888889,1.0,0,0.0
beam_negamax_d6_w8-6-4-2,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,9,0.1694213010939873,0.16853883280418813,0.17982104211114347,0.17982104211114347,0.17982104211114347,0.17982104211114347,0,0.0,2895.222222222222,2936,2936,6.0,523.2222222222222,7.888888888888889,1.0,0,0.0
pvs_d5_b8,pvs,5,5,5,1.0,8,,fixed,9,0.14055604632529947,0.13623687508516014,0.22395862499251962,0.22395862499251962,0.22395862499251962,0.22395862499251962,0,0.0,1720.111111111111,1779,2741,5.0,523.2222222222222,7.888888888888889,1.0,0,0.01029123412271535
