agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta,0,,{},8,0.11881480342708528,0.02378429425880313,early,8,alpha_beta_d5_b8__conservative,246,5,5,5,recovery_streak_reset,False,5,0.7941688338760287,35,0.5420275663491338,1288,1686,0.0005499999970197678,1683,0,8542,0.00014079292304813862,seed0_early_t0,conservative,6852,0,0.12846436793915927,0.10394877358339727,5000,0,0.0,normal,1686,1.0,0.019037333084270358,597.0,0,1→35,8,0,tuning,1,False,0,True,True
alpha_beta,0,,{},8,0.06992233544588089,0.008228410733863711,few_legal,2,alpha_beta_d5_b8__conservative,142,5,5,5,at_max_depth,False,5,0.34465929097495973,32,0.24581517069600523,521,2,1.2459000572562218e-05,720,0,4069,0.00020912382751703262,seed0_few_legal_t6,conservative,3346,0,0.07905950304120779,0.019491826416924596,2,0,0.0,critical,2,1.0,7.120799273252487e-05,597.0,0,35→32,2,1,tuning,35,False,6,True,True
alpha_beta,0,,{},8,0.10889583523385227,0.03546484210528433,early_pruning,8,alpha_beta_d5_b8__conservative,277,5,5,5,recovery_streak_reset,False,5,0.6667977918405086,60,0.476953613338992,809,26,2.2209016606211662e-05,1204,0,7698,5.520670674741268e-05,seed0_early_pruning_t17,conservative,6493,0,0.15048116771504283,0.03896726085804403,44,0,0.0,normal,26,1.0,0.00031833420507609844,797.0,0,28→60,8,2,tuning,28,False,17,True,True
alpha_beta,0,,{},8,0.010544544318690896,0.0032061710953712463,middle,2,alpha_beta_d5_b8__conservative,27,5,5,5,at_max_depth,False,5,0.06566816684789956,63,0.045692628948017955,124,2,1.3625016435980797e-05,191,0,970,0.00011199992150068283,seed0_middle_t27,conservative,779,0,0.014143622480332851,0.005627498496323824,2,0,0.0,critical,2,1.0,7.879198528826237e-05,827.0,0,63→63,2,3,tuning,63,False,27,True,True
alpha_beta,0,,{},8,0.03903540666215122,0.004521299619227648,late,8,alpha_beta_d5_b8__conservative,121,5,5,5,at_max_depth,False,5,0.13462779205292463,28,0.07766890432685614,205,23,1.8208986148238182e-05,462,0,3810,6.60829246044159e-05,seed0_late_t49,conservative,3348,0,0.043848827946931124,0.012619475834071636,78,0,0.0,normal,23,1.0,0.0004062920343130827,999995.0,0,11→28,8,4,tuning,11,False,49,True,True
alpha_beta,0,,{},8,0.06457054358907044,0.007306704530492425,early,8,alpha_beta_d5_b8__conservative,121,5,5,5,at_max_depth,False,5,0.29402591614052653,35,0.1972069616895169,557,1678,0.0027289160061627626,774,0,5346,0.0001005842350423336,seed1_early_t0,conservative,4506,0,0.04657495627179742,0.021269914926961064,5000,0,0.0,normal,1678,1.0,0.026144583011046052,758.5,1,13→35,8,0,tuning,13,False,0,True,True
alpha_beta,0,,{},8,0.16410212055779994,0.02664307877421379,early_pruning,4,alpha_beta_d5_b8__conservative,519,5,4,5,timeout,True,5,1.000076707918197,56,0.7261064848862588,1870,29,1.8207821995019913e-05,2596,0,13026,4.458427429199219e-05,seed1_early_pruning_t75,conservative,10336,0,0.19655238720588386,0.07700487785041332,66,0,0.0,normal,29,0.5,0.0003501658793538809,787.0,1,2→56,8,1,tuning,2,True,75,False,False
alpha_beta,0,,{},8,0.01982979034073651,0.0025281296111643314,middle,8,alpha_beta_d5_b8__conservative,76,5,4,4,recovery_wait,False,4,0.07434116583317518,20,0.0466323746368289,186,37,2.016616053879261e-05,289,0,2044,6.32074661552906e-05,seed1_middle_t120,conservative,1742,1,0.022257831413298845,0.004907794063910842,90,0,0.0,normal,37,1.0,0.0004597920924425125,-768.0,1,9→20,8,2,tuning,9,False,120,False,False
alpha_beta,0,,{},8,0.011907831765711308,0.0019048741087317467,few_legal,2,alpha_beta_d5_b8__conservative,28,5,4,4,recovery_wait,False,4,0.07133041601628065,2,0.052191369934007525,167,2,9.666895493865013e-06,219,0,1008,0.0002929151523858309,seed1_few_legal_t121,conservative,782,2,0.01405578781850636,0.004727259045466781,4,0,0.0,critical,2,1.0,5.341717042028904e-05,-667.0,1,20→2,2,3,tuning,20,False,121,True,False
alpha_beta,0,,{},8,0.0010993336327373981,0.0002228741068392992,late,3,alpha_beta_d5_b8__conservative,3,5,4,4,recovery_wait,False,4,0.0025376249104738235,63,0.0007640852127224207,8,3,1.500011421740055e-05,17,0,144,0.00014891591854393482,seed1_late_t236,conservative,122,3,0.0012735400814563036,0.00026195868849754333,4,0,0.0,danger,3,1.0,7.412489503622055e-05,-999996.0,1,35→63,3,4,tuning,35,False,236,True,True
