config_id,agent,position_id,seed,risk_level,repetition,selected_edge,score,elapsed_time_sec,timed_out,nodes_searched,completed_root_moves,effective_depth
alpha_beta_d3_b8,alpha_beta,seed1_danger_t58,1,danger,0,63→0,146.5,0.006304166046902537,False,48,5,3
alpha_beta_d3_b8,alpha_beta,seed1_danger_t58,1,danger,1,63→0,146.5,0.006271583028137684,False,48,5,3
alpha_beta_d3_b8,alpha_beta,seed1_danger_t58,1,danger,2,63→0,146.5,0.006263624993152916,False,48,5,3
alpha_beta_d3_b8,alpha_beta,seed1_danger_t58,1,danger,3,63→0,146.5,0.006261750007979572,False,48,5,3
alpha_beta_d3_b8,alpha_beta,seed1_danger_t58,1,danger,4,63→0,146.5,0.0062539170030504465,False,48,5,3
alpha_beta_d3_b8,alpha_beta,seed1_critical_t63,1,critical,0,63→63,999997.0,0.0008870839374139905,False,13,3,3
alpha_beta_d3_b8,alpha_beta,seed1_critical_t63,1,critical,1,63→63,999997.0,0.0008802090305835009,False,13,3,3
alpha_beta_d3_b8,alpha_beta,seed1_critical_t63,1,critical,2,63→63,999997.0,0.0008730000117793679,False,13,3,3
alpha_beta_d3_b8,alpha_beta,seed1_critical_t63,1,critical,3,63→63,999997.0,0.0008770839776843786,False,13,3,3
alpha_beta_d3_b8,alpha_beta,seed1_critical_t63,1,critical,4,63→63,999997.0,0.0008636250859126449,False,13,3,3
alpha_beta_d3_b12,alpha_beta,seed0_early_t0,0,normal,0,0→35,906.5,0.02818074997048825,False,195,12,3
alpha_beta_d3_b12,alpha_beta,seed0_early_t0,0,normal,1,0→35,906.5,0.027218708069995046,False,195,12,3
alpha_beta_d3_b12,alpha_beta,seed0_early_t0,0,normal,2,0→35,906.5,0.027306624921038747,False,195,12,3
alpha_beta_d3_b12,alpha_beta,seed0_early_t0,0,normal,3,0→35,906.5,0.02680250001139939,False,195,12,3
alpha_beta_d3_b12,alpha_beta,seed0_early_t0,0,normal,4,0→35,906.5,0.02729929203633219,False,195,12,3
alpha_beta_d3_b12,alpha_beta,seed0_middle_t39,0,normal,0,55→63,2284.0,0.027229374973103404,False,236,12,3
alpha_beta_d3_b12,alpha_beta,seed0_middle_t39,0,normal,1,55→63,2284.0,0.026522583910264075,False,236,12,3
alpha_beta_d3_b12,alpha_beta,seed0_middle_t39,0,normal,2,55→63,2284.0,0.026595667004585266,False,236,12,3
alpha_beta_d3_b12,alpha_beta,seed0_middle_t39,0,normal,3,55→63,2284.0,0.026620790944434702,False,236,12,3
alpha_beta_d3_b12,alpha_beta,seed0_middle_t39,0,normal,4,55→63,2284.0,0.028119165915995836,False,236,12,3
alpha_beta_d3_b12,alpha_beta,seed0_late_t69,0,normal,0,1→63,3526.0,0.01835987507365644,False,121,12,3
alpha_beta_d3_b12,alpha_beta,seed0_late_t69,0,normal,1,1→63,3526.0,0.019680375000461936,False,121,12,3
alpha_beta_d3_b12,alpha_beta,seed0_late_t69,0,normal,2,1→63,3526.0,0.018062457907944918,False,121,12,3
alpha_beta_d3_b12,alpha_beta,seed0_late_t69,0,normal,3,1→63,3526.0,0.017116583068855107,False,121,12,3
alpha_beta_d3_b12,alpha_beta,seed0_late_t69,0,normal,4,1→63,3526.0,0.017638041055761278,False,121,12,3
alpha_beta_d3_b12,alpha_beta,seed0_caution_t60,0,caution,0,63→19,296.5,0.014849500032141805,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed0_caution_t60,0,caution,1,63→19,296.5,0.014805709011852741,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed0_caution_t60,0,caution,2,63→19,296.5,0.014660458080470562,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed0_caution_t60,0,caution,3,63→19,296.5,0.014627000084146857,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed0_caution_t60,0,caution,4,63→19,296.5,0.014599832938984036,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed0_danger_t70,0,danger,0,63→1,146.5,0.008273542043752968,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed0_danger_t70,0,danger,1,63→1,146.5,0.008253417094238102,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed0_danger_t70,0,danger,2,63→1,146.5,0.00818604207597673,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed0_danger_t70,0,danger,3,63→1,146.5,0.008289416902698576,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed0_danger_t70,0,danger,4,63→1,146.5,0.008191416971385479,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed0_critical_t75,0,critical,0,63→63,999997.0,0.0013310419162735343,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed0_critical_t75,0,critical,1,63→63,999997.0,0.0013150000013411045,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed0_critical_t75,0,critical,2,63→63,999997.0,0.001296499976888299,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed0_critical_t75,0,critical,3,63→63,999997.0,0.0013014590367674828,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed0_critical_t75,0,critical,4,63→63,999997.0,0.0012962500331923366,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed1_early_t0,1,normal,0,0→35,886.5,0.028138790978118777,False,196,12,3
alpha_beta_d3_b12,alpha_beta,seed1_early_t0,1,normal,1,0→35,886.5,0.027673832955770195,False,196,12,3
alpha_beta_d3_b12,alpha_beta,seed1_early_t0,1,normal,2,0→35,886.5,0.02765616704709828,False,196,12,3
alpha_beta_d3_b12,alpha_beta,seed1_early_t0,1,normal,3,0→35,886.5,0.027440042002126575,False,196,12,3
alpha_beta_d3_b12,alpha_beta,seed1_early_t0,1,normal,4,0→35,886.5,0.027301750029437244,False,196,12,3
alpha_beta_d3_b12,alpha_beta,seed1_middle_t33,1,normal,0,1→20,556.5,0.03952016693074256,False,385,12,3
alpha_beta_d3_b12,alpha_beta,seed1_middle_t33,1,normal,1,1→20,556.5,0.03943795803934336,False,385,12,3
alpha_beta_d3_b12,alpha_beta,seed1_middle_t33,1,normal,2,1→20,556.5,0.040154832997359335,False,385,12,3
alpha_beta_d3_b12,alpha_beta,seed1_middle_t33,1,normal,3,1→20,556.5,0.04024379199836403,False,385,12,3
alpha_beta_d3_b12,alpha_beta,seed1_middle_t33,1,normal,4,1→20,556.5,0.045519292005337775,False,385,12,3
alpha_beta_d3_b12,alpha_beta,seed1_late_t57,1,normal,0,1→63,754.0,0.01902783301193267,False,145,12,3
alpha_beta_d3_b12,alpha_beta,seed1_late_t57,1,normal,1,1→63,754.0,0.018846584018319845,False,145,12,3
alpha_beta_d3_b12,alpha_beta,seed1_late_t57,1,normal,2,1→63,754.0,0.019477292080409825,False,145,12,3
alpha_beta_d3_b12,alpha_beta,seed1_late_t57,1,normal,3,1→63,754.0,0.0189773750025779,False,145,12,3
alpha_beta_d3_b12,alpha_beta,seed1_late_t57,1,normal,4,1→63,754.0,0.01894641702529043,False,145,12,3
alpha_beta_d3_b12,alpha_beta,seed1_caution_t48,1,caution,0,63→19,296.5,0.014113457989878953,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed1_caution_t48,1,caution,1,63→19,296.5,0.014163916930556297,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed1_caution_t48,1,caution,2,63→19,296.5,0.014076709048822522,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed1_caution_t48,1,caution,3,63→19,296.5,0.014002167037688196,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed1_caution_t48,1,caution,4,63→19,296.5,0.013985541998408735,False,125,9,3
alpha_beta_d3_b12,alpha_beta,seed1_danger_t58,1,danger,0,63→0,146.5,0.008105791988782585,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed1_danger_t58,1,danger,1,63→0,146.5,0.008095541968941689,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed1_danger_t58,1,danger,2,63→0,146.5,0.009002375067211688,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed1_danger_t58,1,danger,3,63→0,146.5,0.007874792092479765,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed1_danger_t58,1,danger,4,63→0,146.5,0.008248207974247634,False,60,5,3
alpha_beta_d3_b12,alpha_beta,seed1_critical_t63,1,critical,0,63→63,999997.0,0.0013412500265985727,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed1_critical_t63,1,critical,1,63→63,999997.0,0.001306292018853128,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed1_critical_t63,1,critical,2,63→63,999997.0,0.0013216249644756317,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed1_critical_t63,1,critical,3,63→63,999997.0,0.0014944589929655194,False,17,3,3
alpha_beta_d3_b12,alpha_beta,seed1_critical_t63,1,critical,4,63→63,999997.0,0.0013368339277803898,False,17,3,3
alpha_beta_d3_b16,alpha_beta,seed0_early_t0,0,normal,0,20→20,1720.0,0.047998541966080666,False,365,16,3
alpha_beta_d3_b16,alpha_beta,seed0_early_t0,0,normal,1,20→20,1720.0,0.047700915951281786,False,365,16,3
alpha_beta_d3_b16,alpha_beta,seed0_early_t0,0,normal,2,20→20,1720.0,0.047825500019825995,False,365,16,3
alpha_beta_d3_b16,alpha_beta,seed0_early_t0,0,normal,3,20→20,1720.0,0.04772179096471518,False,365,16,3
alpha_beta_d3_b16,alpha_beta,seed0_early_t0,0,normal,4,20→20,1720.0,0.04669450002256781,False,365,16,3
alpha_beta_d3_b16,alpha_beta,seed0_middle_t39,0,normal,0,55→63,2284.0,0.039752625045366585,False,343,16,3
alpha_beta_d3_b16,alpha_beta,seed0_middle_t39,0,normal,1,55→63,2284.0,0.03973454190418124,False,343,16,3
alpha_beta_d3_b16,alpha_beta,seed0_middle_t39,0,normal,2,55→63,2284.0,0.04048883402720094,False,343,16,3
alpha_beta_d3_b16,alpha_beta,seed0_middle_t39,0,normal,3,55→63,2284.0,0.039717832929454744,False,343,16,3
