agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn
pvs,0,,{},8,0.04662199970334768,0.003462443593889475,early,8,pvs_d5_b8,288,5,5,5,adaptive_disabled,False,5,0.15997020807117224,0.15997020807117224,20,5,0.1010140455327928,941,3622,0.00033258297480642796,5,1345,933,19308,3.300001844763756e-05,seed0_early_t0,fixed,17970,0,0.04044990846887231,0.008332171011716127,50000,7,0.007502679528403001,normal,3622,1.0,0.009808500064536929,2361.0,0,20→20,8,,tuning,20,0.15997020807117224,1.0,False,0
pvs,0,,{},8,0.05274263094179332,0.0043550156988203526,middle,8,pvs_d5_b8,409,5,5,5,adaptive_disabled,False,5,0.227754499996081,0.227754499996081,46,5,0.1581101124174893,1559,28,6.250105798244476e-06,5,2126,1542,22019,1.63328368216753e-05,seed0_middle_t27,fixed,19909,0,0.05721184588037431,0.0123093337751925,111,16,0.010376134889753566,normal,28,1.0,0.00010062498040497303,2231.0,0,63→46,8,,tuning,63,0.227754499996081,1.0,False,27
pvs,0,,{},8,0.06238095252774656,0.005162766901776195,late,8,pvs_d5_b8,506,5,5,5,adaptive_disabled,False,5,0.26543733407743275,0.26543733407743275,63,5,0.18286649603396654,1841,53,7.832888513803482e-06,5,2519,1824,26342,1.5709083527326584e-05,seed0_late_t49,fixed,23839,0,0.0676516741514206,0.014749871799722314,790,16,0.008771929824561403,normal,53,1.0,0.00014575012028217316,2191.0,0,11→63,8,,tuning,11,0.26543733407743275,1.0,False,49
pvs,0,,{},8,0.04156725201755762,0.0035362655762583017,few_legal,8,pvs_d5_b8,348,5,5,5,adaptive_disabled,False,5,0.16461054189130664,0.16461054189130664,20,5,0.11036953353323042,1090,27,5.499925464391708e-06,5,1557,1082,17635,1.7459038645029068e-05,seed0_few_legal_t8,fixed,16085,0,0.04519539256580174,0.008934824028983712,76,7,0.006469500924214418,normal,27,1.0,8.783279918134212e-05,2341.0,0,20→20,8,,tuning,20,0.16461054189130664,1.0,False,8
pvs,0,,{},8,0.03847644035704434,0.003302165074273944,early_pruning,8,pvs_d5_b8,307,5,5,5,adaptive_disabled,False,5,0.1588619591202587,0.1588619591202587,20,5,0.10836660512723029,1028,58,8.750008419156075e-06,5,1448,1024,15931,1.6459031030535698e-05,seed0_early_pruning_t17,fixed,14486,0,0.041803599800914526,0.008504920173436403,490,3,0.0029296875,normal,58,1.0,0.0001616249792277813,2301.0,0,28→20,8,,tuning,28,0.1588619591202587,1.0,False,17
pvs,0,,{},8,0.05715029104612768,0.004559620283544064,early,8,pvs_d5_b8,275,5,5,5,adaptive_disabled,False,5,0.2194904580246657,0.2194904580246657,20,5,0.14427664852701128,924,3603,0.000324958935379982,5,1315,915,18881,6.504100747406483e-05,seed1_early_t0,fixed,17574,0,0.05216806917451322,0.012748990440741181,50000,8,0.008743169398907104,normal,3603,1.0,0.009906749939545989,2349.0,1,20→20,8,,tuning,20,0.2194904580246657,1.0,False,0
pvs,0,,{},8,0.05236334167420864,0.004292363999411464,middle,8,pvs_d5_b8,418,5,5,5,adaptive_disabled,False,5,0.20166795910336077,0.20166795910336077,35,5,0.13372087385505438,1345,64,1.195794902741909e-05,5,1908,1337,21799,1.779315061867237e-05,seed1_middle_t120,fixed,19898,0,0.056700646644458175,0.011036937590688467,881,7,0.005235602094240838,normal,64,1.0,0.00017974991351366043,2229.0,1,9→35,8,,tuning,9,0.20166795910336077,1.0,False,120
pvs,0,,{},8,0.03790381411090493,0.0031420153100043535,late,8,pvs_d5_b8,310,5,5,5,adaptive_disabled,False,5,0.1556825831066817,0.1556825831066817,35,5,0.10606629308313131,1073,41,6.291782483458519e-06,5,1497,1064,16108,1.5332363545894623e-05,seed1_late_t236,fixed,14619,0,0.04108376568183303,0.008389066206291318,90,8,0.007518796992481203,normal,41,1.0,0.00012183398939669132,2229.0,1,35→35,8,,tuning,35,0.1556825831066817,1.0,False,236
pvs,0,,{},8,0.03683435916900635,0.0030251687858253717,few_legal,8,pvs_d5_b8,303,5,5,5,adaptive_disabled,False,5,0.15010654088109732,0.15010654088109732,20,5,0.10200748383067548,1019,23,4.500150680541992e-06,5,1435,1010,15671,1.4790799468755722e-05,seed1_few_legal_t115,fixed,14244,0,0.03994233859702945,0.008057719562202692,69,8,0.007920792079207921,normal,23,1.0,7.970794104039669e-05,2229.0,1,20→20,8,,tuning,20,0.15010654088109732,1.0,False,115
pvs,0,,{},8,0.09191998420283198,0.00893638632260263,early_pruning,8,pvs_d5_b8,539,5,5,5,adaptive_disabled,False,5,0.3204906659666449,0.3204906659666449,24,5,0.20019775186665356,1577,63,9.750016033649445e-06,5,2283,1565,28273,1.749885268509388e-05,seed1_early_pruning_t75,fixed,26001,0,0.10138430702500045,0.018701691180467606,771,11,0.007028753993610224,normal,63,1.0,0.00017966702580451965,2249.0,1,2→24,8,,tuning,2,0.3204906659666449,1.0,False,75
