config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,run_count,mean_time_sec,median_time_sec,p90_time_sec,p95_time_sec,p99_time_sec,max_time_sec,timeout_count,timeout_rate,mean_nodes,median_nodes,max_nodes,mean_effective_depth,mean_root_candidate_count,mean_completed_root_moves,mean_root_completion_rate,depth_change_count,mean_research_rate
alpha_beta_d5_b8,alpha_beta,5,5,5,1.0,8,,fixed,10,0.27054409994743767,0.26370693754870445,0.2903448750730604,0.37053387495689094,0.37053387495689094,0.37053387495689094,0,0.0,2348.4,2284.0,3270,5.0,758.2,8.0,1.0,0,0.0
beam_negamax_d6_w8-6-4-2,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,10,0.2792069332906976,0.2627242914168164,0.30349587509408593,0.3848508750088513,0.3848508750088513,0.3848508750088513,0,0.0,2936.0,2936.0,2936,6.0,758.2,8.0,1.0,0,0.0
pvs_d5_b8,pvs,5,5,5,1.0,8,,fixed,10,0.20240727502387018,0.1831392504973337,0.26543733407743275,0.3204906659666449,0.3204906659666449,0.3204906659666449,0,0.0,1743.3,1527.0,2519,5.0,758.2,8.0,1.0,0,0.007249704722537968
