agent_name,dict_size,end_char,move_count,move_rate,timeout_count,average_elapsed_time_sec,ended_with_n_count
beam_negamax,20000,と,4,0.005420,0,0.096546,0
beam_negamax,20000,ぬ,4,0.005420,0,0.107997,0
beam_negamax,20000,ね,38,0.051491,0,0.089398,0
beam_negamax,20000,の,2,0.002710,0,0.093775,0
beam_negamax,20000,び,4,0.005420,0,0.107734,0
beam_negamax,20000,ぴ,2,0.002710,0,0.106827,0
beam_negamax,20000,ぷ,4,0.005420,0,0.088155,0
beam_negamax,20000,べ,14,0.018970,0,0.087234,0
beam_negamax,20000,ぽ,2,0.002710,0,0.086560,0
beam_negamax,20000,む,64,0.086721,0,0.089560,0
beam_negamax,20000,や,16,0.021680,0,0.088550,0
beam_negamax,20000,ゆ,2,0.002710,0,0.059358,0
beam_negamax,20000,よ,14,0.018970,0,0.078004,0
beam_negamax,20000,ら,18,0.024390,0,0.088452,0
beam_negamax,20000,り,8,0.010840,0,0.084620,0
beam_negamax,20000,る,288,0.390244,0,0.092949,0
beam_negamax,20000,ろ,4,0.005420,0,0.084452,0
beam_negamax,20000,わ,4,0.005420,0,0.086957,0
beam_negamax,20000,ん,2,0.002710,0,0.000008,2
