dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
200,0,ゆ,2,1,0,0,0.000000
200,0,よ,4,1,0,0,0.000000
200,0,ら,0,2,0,0,0.000000
200,0,り,5,9,0,0,0.000000
200,0,る,0,3,0,0,0.000000
200,0,れ,2,3,0,0,0.000000
200,0,ろ,1,5,0,0,0.000000
200,0,わ,1,1,0,0,0.000000
200,0,ん,0,29,0,0,0.000000
250,0,あ,16,5,0,0,0.000000
250,0,い,10,18,0,0,0.000000
250,0,う,4,28,0,0,0.000000
250,0,え,7,3,0,0,0.000000
250,0,お,6,0,0,0,0.000000
250,0,か,9,3,0,0,0.000000
250,0,が,5,1,0,0,0.000000
250,0,き,4,12,0,1,0.000000
250,0,ぎ,2,2,0,0,0.000000
250,0,く,3,22,2,2,1.000000
250,0,ぐ,0,1,0,0,0.000000
250,0,け,5,1,0,0,0.000000
250,0,げ,0,2,0,0,0.000000
250,0,こ,11,3,0,0,0.000000
250,0,ご,1,2,0,0,0.000000
250,0,さ,8,1,0,0,0.000000
250,0,ざ,3,1,0,0,0.000000
250,0,し,17,6,0,0,0.000000
250,0,じ,10,4,0,0,0.000000
250,0,す,11,4,0,0,0.000000
250,0,せ,5,1,0,0,0.000000
250,0,ぜ,1,0,0,0,0.000000
250,0,そ,5,0,0,0,0.000000
250,0,ぞ,1,0,0,0,0.000000
250,0,た,3,2,0,0,0.000000
250,0,だ,3,0,0,0,0.000000
250,0,ち,6,5,0,0,0.000000
250,0,つ,1,8,0,0,0.000000
250,0,て,2,4,0,0,0.000000
250,0,で,2,0,0,0,0.000000
250,0,と,7,7,0,0,0.000000
250,0,ど,2,4,0,0,0.000000
250,0,な,3,1,0,0,0.000000
250,0,に,8,1,0,0,0.000000
250,0,ね,0,2,0,0,0.000000
250,0,の,1,0,0,0,0.000000
250,0,は,4,0,0,0,0.000000
250,0,ば,1,1,0,0,0.000000
250,0,ぱ,2,0,0,0,0.000000
