beam_edge,beam_end_id,beam_ordering_score,beam_search_score,beam_start_id,beam_won,candidate_count,dict_size,match_id,match_winner,phase,reference_edge,reference_end_id,reference_ordering_score,reference_rank,reference_search_score,reference_start_id,required_char,risk_level,same_edge,seed,top_12,top_16,top_2,top_4,top_6,top_8,turn,widened_edge,widened_selects_reference
や→ね,36,-3083.0,896.5,58,False,33,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,early,や→よ,60,-5348.0,14,916.5,58,や,normal,False,0,False,True,False,False,False,False,93,や→ね,False
や→ね,36,-3053.0,896.5,58,False,33,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,middle,や→よ,60,-5348.0,14,916.5,58,や,normal,False,0,False,True,False,False,False,False,97,や→ね,False
や→ぎ,8,-3136.5,896.5,58,False,32,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,middle,や→よ,60,-5348.0,13,916.5,58,や,normal,False,0,False,True,False,False,False,False,99,や→ぎ,False
や→ぎ,8,-3116.5,896.5,58,False,32,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,middle,や→よ,60,-5348.0,13,916.5,58,や,normal,False,0,False,True,False,False,False,False,101,や→ぎ,False
や→ら,61,-3208.5,896.5,58,False,31,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,middle,や→よ,60,-5348.0,12,916.5,58,や,normal,False,0,True,True,False,False,False,False,103,や→ら,False
る→る,63,-916.5,1187.5,63,False,20,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,middle,る→う,2,-5889.0,10,876.5,63,る,normal,False,0,True,True,False,False,False,False,189,る→る,False
る→ぽ,52,-1187.5,284.0,63,False,13,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,late,る→い,1,-11309.5,10,304.0,63,る,normal,False,0,True,True,False,False,False,False,231,る→ぽ,False
る→ぷ,46,-2014.5,234.0,63,False,12,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,late,る→い,1,-11289.5,9,274.0,63,る,normal,False,0,True,True,False,False,False,False,237,る→ぷ,False
や→の,37,-2822.5,4059.5,58,False,35,20000,D20000_seed0_pvs_vs_beam_negamax,pvs,middle,や→つ,28,-4220.5,10,626.5,58,や,normal,False,0,True,True,False,False,False,False,96,や→わ,False
や→ね,36,-3093.0,4059.5,58,False,34,20000,D20000_seed0_pvs_vs_beam_negamax,pvs,middle,や→つ,28,-4220.5,9,626.5,58,や,normal,False,0,True,True,False,False,False,False,100,や→わ,False
む→る,63,-786.5,2144.5,55,False,30,20000,D20000_seed1_alpha_beta_vs_beam_negamax,alpha_beta,late,む→う,2,-5626.5,10,1410.0,55,む,normal,False,1,True,True,False,False,False,False,166,む→る,False
や→ぎ,8,-2756.5,646.5,58,False,40,20000,D20000_seed1_alpha_beta_vs_beam_negamax,alpha_beta,late,や→つ,28,-3853.0,11,2144.5,58,や,normal,False,1,True,True,False,False,False,False,182,や→つ,True
る→り,62,-7018.5,616.5,63,False,15,20000,D20000_seed1_alpha_beta_vs_beam_negamax,alpha_beta,late,る→い,1,-11229.5,11,666.5,63,る,normal,False,1,True,True,False,False,False,False,184,る→と,False
る→と,31,-8345.5,566.5,63,False,14,20000,D20000_seed1_alpha_beta_vs_beam_negamax,alpha_beta,late,る→い,1,-11229.5,10,616.5,63,る,normal,False,1,True,True,False,False,False,False,188,る→い,True
る→る,63,-626.5,-999994.0,63,False,13,20000,D20000_seed1_alpha_beta_vs_beam_negamax,alpha_beta,late,る→い,1,-11229.5,9,586.5,63,る,normal,False,1,True,True,False,False,False,False,190,る→い,True
つ→る,63,-916.5,534.0,28,False,42,20000,D20000_seed1_beam_negamax_vs_alpha_beta,alpha_beta,middle,つ→つ,28,-3903.0,11,866.5,28,つ,normal,False,1,True,True,False,False,False,False,119,つ→る,False
る→る,63,-876.5,534.0,63,False,20,20000,D20000_seed1_beam_negamax_vs_alpha_beta,alpha_beta,middle,る→う,2,-5756.5,9,826.5,63,る,normal,False,1,True,True,False,False,False,False,121,る→む,False
つ→ぐ,10,-2164.5,494.0,28,False,41,20000,D20000_seed1_beam_negamax_vs_alpha_beta,alpha_beta,middle,つ→つ,28,-3853.0,10,2164.5,28,つ,normal,False,1,True,True,False,False,False,False,127,つ→ぐ,False
ぐ→る,63,-756.5,2014.5,10,False,32,20000,D20000_seed1_beam_negamax_vs_alpha_beta,alpha_beta,middle,ぐ→つ,28,-3853.0,10,2084.5,10,ぐ,normal,False,1,True,True,False,False,False,False,143,ぐ→る,False
う→ぐ,10,-2114.5,374.0,2,False,51,20000,D20000_seed1_beam_negamax_vs_alpha_beta,alpha_beta,late,う→つ,28,-3853.0,16,2114.5,2,う,normal,False,1,False,True,False,False,False,False,151,う→ぐ,False
つ→る,63,-916.5,534.0,28,False,42,20000,D20000_seed1_beam_negamax_vs_pvs,pvs,middle,つ→つ,28,-3903.0,11,866.5,28,つ,normal,False,1,True,True,False,False,False,False,119,つ→る,False
る→る,63,-876.5,534.0,63,False,20,20000,D20000_seed1_beam_negamax_vs_pvs,pvs,middle,る→う,2,-5756.5,9,826.5,63,る,normal,False,1,True,True,False,False,False,False,121,る→む,False
つ→ぐ,10,-2164.5,494.0,28,False,41,20000,D20000_seed1_beam_negamax_vs_pvs,pvs,middle,つ→つ,28,-3853.0,10,2164.5,28,つ,normal,False,1,True,True,False,False,False,False,127,つ→ぐ,False
ぐ→る,63,-756.5,2014.5,10,False,32,20000,D20000_seed1_beam_negamax_vs_pvs,pvs,middle,ぐ→つ,28,-3853.0,10,2084.5,10,ぐ,normal,False,1,True,True,False,False,False,False,143,ぐ→る,False
う→ぐ,10,-2114.5,374.0,2,False,51,20000,D20000_seed1_beam_negamax_vs_pvs,pvs,late,う→つ,28,-3853.0,16,2114.5,2,う,normal,False,1,False,True,False,False,False,False,151,う→ぐ,False
げ→る,63,-866.5,1187.5,12,False,37,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,middle,げ→つ,28,-3903.0,14,866.5,12,げ,normal,False,1,False,True,False,False,False,False,126,げ→る,False
む→る,63,-786.5,2144.5,55,False,30,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,late,む→う,2,-5626.5,10,1410.0,55,む,normal,False,1,True,True,False,False,False,False,166,む→る,False
