match_id,turn,risk_level,beam_won,same_edge,reference_rank,reference_risk_level,reference_attack_score,reference_survival_score,reference_survival_weight,reference_total_score,reference_opponent_legal_word_count,reference_opponent_safe_word_count,reference_opponent_active_edge_type_count,reference_opponent_safe_edge_type_count,reference_opponent_destination_count,reference_opponent_safe_destination_count,reference_own_safe_word_count,reference_own_safe_edge_type_count,reference_own_safe_destination_count,beam_risk_level,beam_attack_score,beam_survival_score,beam_survival_weight,beam_total_score,beam_opponent_legal_word_count,beam_opponent_safe_word_count,beam_opponent_active_edge_type_count,beam_opponent_safe_edge_type_count,beam_opponent_destination_count,beam_opponent_safe_destination_count,beam_own_safe_word_count,beam_own_safe_edge_type_count,beam_own_safe_destination_count
D1000_seed0_pvs_vs_beam_negamax,16,normal,True,True,6,normal,-309.5,0.0,0.0,-309.5,11,10,11,10,11,10,32,19,19,normal,-309.5,0.0,0.0,-309.5,11,10,11,10,11,10,32,19,19
D1000_seed0_pvs_vs_beam_negamax,18,danger,True,False,2,danger,-279.5,168.46666666666667,0.8,-144.72666666666666,10,9,10,9,10,9,5,5,5,danger,-60.0,188.5,0.8,90.80000000000001,2,2,2,2,2,2,5,5,5
D1000_seed0_pvs_vs_beam_negamax,20,normal,True,True,2,normal,-190.0,0.0,0.0,-190.0,7,7,5,5,5,5,12,8,8,normal,-190.0,0.0,0.0,-190.0,7,7,5,5,5,5,12,8,8
D1000_seed0_pvs_vs_beam_negamax,22,normal,True,True,1,normal,-160.0,0.0,0.0,-160.0,6,6,4,4,4,4,11,8,8,normal,-160.0,0.0,0.0,-160.0,6,6,4,4,4,4,11,8,8
D1000_seed0_pvs_vs_beam_negamax,24,danger,True,True,1,danger,1000000.0,0.0,0.0,1000000.0,0,0,0,0,0,0,4,4,4,danger,1000000.0,0.0,0.0,1000000.0,0,0,0,0,0,0,4,4,4
D3000_seed0_alpha_beta_vs_beam_negamax,2,near_death,True,True,1,critical,-798.0,152.18,1.5,-569.73,34,30,17,16,17,16,2,2,2,critical,-798.0,152.18,1.5,-569.73,34,30,17,16,17,16,2,2,2
D3000_seed0_alpha_beta_vs_beam_negamax,4,normal,True,False,12,normal,-1117.0,0.0,0.0,-1117.0,49,43,21,20,21,20,19,17,17,normal,-498.0,0.0,0.0,-498.0,20,16,15,14,15,14,19,17,17
D3000_seed0_alpha_beta_vs_beam_negamax,6,normal,True,False,1,normal,-120.0,0.0,0.0,-120.0,4,4,4,4,4,4,16,11,11,normal,-639.0,0.0,0.0,-639.0,26,24,15,14,15,14,16,11,11
D3000_seed0_alpha_beta_vs_beam_negamax,8,normal,True,True,1,normal,-417.0,0.0,0.0,-417.0,20,14,9,8,9,8,25,15,15,normal,-417.0,0.0,0.0,-417.0,20,14,9,8,9,8,25,15,15
D3000_seed0_alpha_beta_vs_beam_negamax,10,normal,True,False,1,normal,-379.0,0.0,0.0,-379.0,15,13,11,10,11,10,36,24,24,normal,-428.5,0.0,0.0,-428.5,18,15,11,10,11,10,36,24,24
D3000_seed0_alpha_beta_vs_beam_negamax,12,danger,True,True,1,danger,-90.0,293.0,0.8,144.4,3,3,3,3,3,3,4,4,4,danger,-90.0,293.0,0.8,144.4,3,3,3,3,3,3,4,4,4
D3000_seed0_alpha_beta_vs_beam_negamax,14,normal,True,False,1,normal,-309.5,0.0,0.0,-309.5,11,10,11,10,11,10,21,11,11,normal,-468.0,0.0,0.0,-468.0,19,15,14,13,14,13,21,11,11
D3000_seed0_alpha_beta_vs_beam_negamax,16,caution,True,False,1,caution,-397.5,101.3,0.35,-362.045,18,13,10,9,10,9,10,10,10,caution,-528.5,226.89,0.35,-449.0885,23,20,11,10,11,10,10,10,10
D3000_seed0_alpha_beta_vs_beam_negamax,18,normal,True,False,1,normal,-379.0,0.0,0.0,-379.0,15,13,11,10,11,10,35,23,23,normal,-508.5,0.0,0.0,-508.5,22,19,11,10,11,10,35,23,23
D3000_seed0_alpha_beta_vs_beam_negamax,20,caution,True,True,1,caution,-397.5,100.93333333333334,0.35,-362.17333333333335,18,13,10,9,10,9,9,9,9,caution,-397.5,100.93333333333334,0.35,-362.17333333333335,18,13,10,9,10,9,9,9,9
