feature,positions,mean_candidate_variance,median_candidate_variance,nonzero_variance_rate
dangerous_word_count,121,5.767881793445816e-06,3.336176782467929e-06,0.8760330578512396
dead_end_reach_rate,121,0.05114818827125134,5.449896858126722e-05,0.8760330578512396
depth2_char_count,121,0.032426896449257,0.036548442906574385,0.8760330578512396
depth3_char_count,121,0.040841257424870596,0.030820540158685513,0.8760330578512396
destination_concentration,121,0.051452371760235746,0.037464498649781776,0.8760330578512396
destination_count,121,0.007054491227253994,0.006195393598615918,0.8760330578512396
legal_word_count,121,0.0001366523353657224,0.00012139602353751085,0.8760330578512396
low_out_degree_reach_rate,121,0.04632221797769161,0.03338767683441455,0.8760330578512396
reachable_char_count,121,0.04425955756025444,0.03108780276816609,0.5041322314049587
reachable_edge_count,121,0.051369305045394845,0.036707595767783645,0.5041322314049587
safe_word_count,121,9.219720619932393e-05,8.403302788336978e-05,0.8760330578512396
scc_exit_edge_count,121,0.001620715365027022,0.0009318507669559413,0.5206611570247934
scc_internal_edge_count,121,0.03668769040005317,0.025942267170582112,0.5206611570247934
scc_vertex_count,121,0.04356758324619091,0.03006017817666282,0.5206611570247934
