agent,move_count,mean_time_sec,median_time_sec,p95_time_sec,max_time_sec,timeout_count
alpha_beta,19,0.02575784210526316,0.022613,0.069943,0.069943,0
beam_negamax,17,0.042648882352941175,0.026773,0.08997,0.08997,0
graph_control,121,0.010688123966942149,0.001592,0.1217,0.132205,0
greedy,7,0.00041999999999999996,3.2e-05,0.002781,0.002781,0
minimax,24,0.020815125,0.0223095,0.030278,0.030441,0
monte_carlo,17,0.014608411764705884,0.007975,0.057706,0.057706,0
pvs,19,0.02785136842105263,0.024009,0.073795,0.073795,0
random,21,9.39047619047619e-05,7e-06,0.00027,0.001545,0
