feature,selected_mean,not_selected_mean,difference
dangerous_word_count,0.0008943352060441926,0.0024203585579839573,-0.0015260233519397647
dead_end_reach_rate,0.07881154055135489,0.09384537513996351,-0.015033834588608616
depth2_char_count,0.4370442391832766,0.5638183678503238,-0.12677412866704718
depth3_char_count,0.7293388429752066,0.776657409352932,-0.04731856637772547
destination_concentration,0.3061842067942362,0.21618359057297076,0.09000061622126543
destination_count,0.08896451142440448,0.1613832984661484,-0.07241878704174393
legal_word_count,0.007952414163478706,0.017514094758631936,-0.00956168059515323
low_out_degree_reach_rate,0.157482227580337,0.1664516895039429,-0.008969461923605898
reachable_char_count,0.8508750607681089,0.84207220704713,0.008802853720978887
reachable_edge_count,0.9023216643061996,0.8863560065847798,0.01596565772141989
safe_word_count,0.007058078957434514,0.015093736200647979,-0.008035657243213465
scc_exit_edge_count,0.13804570521468448,0.14027854067116982,-0.002232835456485338
scc_internal_edge_count,0.653571354297247,0.7354775121049898,-0.0819061578077428
scc_vertex_count,0.7252066115702479,0.8176210226286509,-0.09241441105840298
