agent,effective_depth,turns,mean_elapsed_time_sec,median_elapsed_time_sec,p95_elapsed_time_sec,max_elapsed_time_sec,mean_nodes_searched,median_nodes_searched,p95_nodes_searched,max_nodes_searched,mean_leaf_evaluations,mean_ordering_evaluations,mean_completed_root_moves,mean_cutoff_count,mean_root_candidate_count,mean_opponent_legal_word_count,mean_opponent_safe_word_count,mean_opponent_active_edge_type_count,mean_opponent_safe_edge_type_count,mean_opponent_destination_count,mean_opponent_safe_destination_count,mean_own_safe_word_count,mean_own_safe_edge_type_count,mean_own_safe_destination_count,mean_attack_score,mean_survival_score,mean_survival_weight,mean_total_score,time_per_node_sec,timeout_rate,win_rate_from_position
alpha_beta,5,2190,0.13294006757990867,0.11552399999999999,0.313857,0.7955,1143.0424657534247,998.0,2468.0,6767.0,799.8027397260274,10087.201826484019,7.695433789954338,224.51963470319635,52.32146118721461,99.41232876712328,83.8406392694064,23.713698630136985,22.77351598173516,23.713698630136985,22.77351598173516,226.67488584474887,50.69634703196347,30.5324200913242,12103.323059360731,22.413326525995714,0.06479452054794521,12118.540834861891,0.00011630369961126738,0.0,0.7301369863013699
beam_negamax,5,2129,0.11113602724283701,0.10163,0.229559,1.0009,1215.0709253170503,1400.0,1400.0,1400.0,654.3226867073744,12390.092531705026,7.419915453264443,0.0,47.54156881164866,131.2851103804603,111.78534523250352,27.870361672146547,26.924377642085485,27.870361672146547,26.924377642085485,195.4170972287459,45.91310474401127,25.171441991545326,128.2536402066698,47.4843417292877,0.12310944105213717,161.07090243912324,9.146464204452767e-05,0.0004697040864255519,0.2696101456082668
greedy,,1166,0.0002044073756432247,4e-05,0.000214,0.01415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimax,3,528,0.036318928030303024,0.033992,0.075418,0.114951,451.21590909090907,524.0,566.0,576.0,385.57007575757575,1055.6950757575758,7.223484848484849,0.0,42.96969696969697,27.310606060606062,23.660984848484848,14.615530303030303,13.871212121212121,14.615530303030303,13.871212121212121,83.85606060606061,40.81818181818182,16.303030303030305,29656.46306818182,43.319988939785866,0.16770833333333332,29684.448678070305,8.04912399996642e-05,0.0,0.6117424242424242
pvs,5,2203,0.14245563458919655,0.117536,0.342564,1.000072,1295.3890149795734,1072.0,3047.0,7979.0,872.8656377666817,12574.962324103495,7.694053563322742,298.23513390830686,52.13890149795733,99.22877893781208,83.67635043123015,23.700862460281435,22.760326827054016,23.700862460281435,22.760326827054016,225.60871538810713,50.51747616886065,30.472537448933274,12023.38969586927,23.0418132257717,0.06504766227871085,12038.783932661416,0.00010997131590732449,0.0009078529278256923,0.7317294598275079
