agent,risk_level,runs,mean_time_sec,median_time_sec,p95_time_sec,max_time_sec,mean_nodes,median_nodes,p95_nodes,time_per_node_sec,mean_leaf_evaluations,mean_ordering_evaluations,mean_completed_root_moves,mean_cutoff_count,mean_effective_depth,timeout_rate,mean_research_rate
alpha_beta,caution,15,0.056893166666850445,0.05798683303873986,0.07913995801936835,0.07913995801936835,549.6666666666666,549.0,741.0,0.00010350485142544048,441.6666666666667,4110.0,8.0,73.33333333333333,4.0,0.0,0.0
alpha_beta,danger,15,0.02922516119821618,0.027752958005294204,0.03562887501902878,0.03562887501902878,246.33333333333334,248.0,280.0,0.00011864070851779234,192.66666666666666,1678.3333333333333,5.0,27.666666666666668,4.0,0.0,0.0
alpha_beta,near_death,15,0.007468533267577489,0.0040065000066533685,0.016888707992620766,0.016888707992620766,64.66666666666667,28.0,138.0,0.00011549278248831169,44.0,552.0,3.0,13.0,4.0,0.0,0.0
alpha_beta,normal,45,0.06737868981953296,0.05706333299167454,0.1171509160194546,0.11829416698310524,655.7777777777778,613.0,1242.0,0.00010274622303893539,441.8888888888889,8844.555555555555,12.0,179.44444444444446,4.0,0.0,0.0
beam_negamax,caution,15,0.05812421105025957,0.06616783293429762,0.07717220799531788,0.07717220799531788,735.0,840.0,840.0,7.908055925205384e-05,448.0,8002.333333333333,8.0,0.0,4.0,0.0,0.0
beam_negamax,danger,15,0.04379244445978354,0.04362620902247727,0.05005816696211696,0.05005816696211696,375.3333333333333,356.0,414.0,0.0001166761397685174,228.0,4100.666666666667,5.0,0.0,4.0,0.0,0.0
beam_negamax,near_death,15,0.009029605596636733,0.005467499955557287,0.01636445801705122,0.01636445801705122,130.33333333333334,100.0,191.0,6.928086135526905e-05,75.66666666666667,1407.6666666666667,3.0,0.0,4.0,0.0,0.0
beam_negamax,normal,45,0.11330355102092855,0.09406262496486306,0.1822379590012133,0.186802624957636,1246.4444444444443,1260.0,1260.0,9.090140481265439e-05,759.5555555555555,14348.222222222223,12.0,0.0,4.0,0.0,0.0
pvs,caution,15,0.06527629174136867,0.06609795906115323,0.08656054106540978,0.08656054106540978,648.0,653.0,851.0,0.0001007350181193961,511.6666666666667,4949.666666666667,8.0,96.33333333333333,4.0,0.0,0.01640520329373162
pvs,danger,15,0.037400588874394694,0.03697124996688217,0.049432041007094085,0.049432041007094085,308.0,328.0,370.0,0.00012143048335842434,234.66666666666666,2144.3333333333335,5.0,40.333333333333336,4.0,0.0,0.022340481659399707
pvs,near_death,15,0.006076830439269543,0.0016656669322401285,0.01556741597596556,0.01556741597596556,64.66666666666667,28.0,138.0,9.397160473097231e-05,44.0,552.0,3.0,13.0,4.0,0.0,0.0
pvs,normal,45,0.06149479353852156,0.06504362495616078,0.08420616702642292,0.08633749990258366,587.1111111111111,679.0,885.0,0.0001047413213184508,392.77777777777777,7878.666666666667,12.0,162.88888888888889,4.0,0.0,0.008911182524501855
