match_id,turn,risk_level,root_candidate_count,nodes_searched,elapsed_time_sec,null_window_searches,research_count,research_rate,had_research
D10000_seed0_alpha_beta_vs_pvs,54,normal,14,510,0.078966,267,4,0.0149812734082397,True
D10000_seed0_alpha_beta_vs_pvs,56,normal,23,250,0.036898,150,0,0.0,False
D10000_seed0_alpha_beta_vs_pvs,58,normal,36,340,0.050074,221,0,0.0,False
D10000_seed0_alpha_beta_vs_pvs,60,normal,52,265,0.037704,176,0,0.0,False
D10000_seed0_beam_negamax_vs_pvs,2,caution,10,1074,0.10471,788,0,0.0,False
D10000_seed0_beam_negamax_vs_pvs,4,caution,9,1676,0.151933,1173,19,0.01619778346121057,True
D10000_seed0_beam_negamax_vs_pvs,6,normal,24,1996,0.171909,1410,15,0.010638297872340425,True
D10000_seed0_beam_negamax_vs_pvs,8,normal,23,2197,0.197801,1565,14,0.008945686900958467,True
D10000_seed0_beam_negamax_vs_pvs,10,normal,12,1161,0.130125,831,16,0.019253910950661854,True
D10000_seed0_beam_negamax_vs_pvs,12,normal,24,2058,0.386815,1370,23,0.016788321167883213,True
D10000_seed0_beam_negamax_vs_pvs,14,normal,26,2633,0.620214,1753,19,0.010838562464346835,True
D10000_seed0_beam_negamax_vs_pvs,16,normal,32,1804,0.328391,1285,7,0.005447470817120622,True
D10000_seed0_beam_negamax_vs_pvs,18,normal,31,2605,0.387823,1734,19,0.010957324106113034,True
D10000_seed0_beam_negamax_vs_pvs,20,normal,32,1234,0.188016,805,11,0.013664596273291925,True
D10000_seed0_beam_negamax_vs_pvs,22,normal,37,846,0.129605,605,3,0.0049586776859504135,True
D10000_seed0_beam_negamax_vs_pvs,24,normal,39,968,0.128939,692,3,0.004335260115606936,True
D10000_seed0_beam_negamax_vs_pvs,26,normal,43,878,0.158434,624,3,0.004807692307692308,True
D10000_seed0_beam_negamax_vs_pvs,28,normal,11,789,0.166633,553,3,0.0054249547920434,True
D10000_seed0_beam_negamax_vs_pvs,30,normal,43,1099,0.22293,754,4,0.005305039787798408,True
D10000_seed0_beam_negamax_vs_pvs,32,caution,9,1293,0.206546,862,9,0.010440835266821345,True
D10000_seed0_beam_negamax_vs_pvs,34,normal,14,1199,0.168721,772,13,0.01683937823834197,True
