beam_edge,beam_end_id,beam_ordering_score,beam_search_score,beam_start_id,beam_won,candidate_count,dict_size,match_id,match_winner,phase,reference_edge,reference_end_id,reference_ordering_score,reference_rank,reference_search_score,reference_start_id,required_char,risk_level,same_edge,seed,top_12,top_16,top_2,top_4,top_6,top_8,turn,widened_edge,widened_selects_reference,original_winner_agent,counterfactual_winner_agent,original_match_turns,counterfactual_match_turns,classification,counterfactual_edge_history
や→ね,36,-3083.0,896.5,58,False,33,20000,D20000_seed0_beam_negamax_vs_pvs,pvs,early,や→よ,60,-5348.0,14,916.5,58,や,normal,False,0,False,True,False,False,False,False,93,や→ね,False,pvs,pvs,285,287,same_outcome_longer_survival,"[[60, 58], [58, 36], [36, 55], [55, 28], [28, 58], [58, 36], [36, 58], [58, 8], [8, 58], [58, 8], [8, 58], [58, 61], [61, 55], [55, 28], [28, 58], [58, 61], [61, 55], [55, 28], [28, 10], [10, 55], [55, 28], [28, 10], [10, 8], [8, 10], [10, 8], [8, 10], [10, 61], [61, 10], [10, 56], [56, 36], [36, 16], [16, 55], [55, 28], [28, 22], [22, 16], [16, 28], [28, 22], [22, 8], [8, 16], [16, 28], [28, 36], [36, 8], [8, 16], [16, 28], [28, 36], [36, 43], [43, 16], [16, 28], [28, 36], [36, 43], [43, 55], [55, 28], [28, 36], [36, 56], [56, 8], [8, 16], [16, 58], [58, 28], [28, 8], [8, 16], [16, 43], [43, 10], [10, 28], [28, 8], [8, 58], [58, 28], [28, 8], [8, 8], [8, 58], [58, 28], [28, 8], [8, 8], [8, 58], [58, 12], [12, 55], [55, 39], [39, 55], [55, 32], [32, 55], [55, 60], [60, 58], [58, 61], [61, 58], [58, 61], [61, 10], [10, 28], [28, 8], [8, 28], [28, 8], [8, 28], [28, 8], [8, 28], [28, 61], [61, 10], [10, 39], [39, 10], [10, 63], [63, 63], [63, 55], [55, 63], [63, 12], [12, 63], [63, 28], [28, 63], [63, 2], [2, 63], [63, 2], [2, 63], [63, 63], [63, 63], [63, 2], [2, 58], [58, 61], [61, 63], [63, 62], [62, 55], [55, 60], [60, 58], [58, 39], [39, 55], [55, 2], [2, 58], [58, 39], [39, 55], [55, 2], [2, 63], [63, 31], [31, 58], [58, 39], [39, 58], [58, 39], [39, 63], [63, 31], [31, 58], [58, 57], [57, 58], [58, 2], [2, 10], [10, 63], [63, 52], [52, 20], [20, 1], [1, 20], [20, 9], [9, 63], [63, 46], [46, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 42], [42, 63], [63, 59], [59, 63], [63, 59], [59, 63], [63, 33], [33, 63], [63, 9], [9, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 44], [44, 20], [20, 27], [27, 20], [20, 27], [27, 20], [20, 1], [1, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 18], [18, 63], [63, 67]]"
や→の,37,-2822.5,4059.5,58,False,35,20000,D20000_seed0_pvs_vs_beam_negamax,pvs,middle,や→つ,28,-4220.5,10,626.5,58,や,normal,False,0,True,True,False,False,False,False,96,や→わ,False,pvs,pvs,150,150,same_outcome,"[[28, 63], [63, 2], [2, 58], [58, 37], [37, 20], [20, 2], [2, 58], [58, 36], [36, 63], [63, 33], [33, 63], [63, 59], [59, 63], [63, 59], [59, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 9], [9, 63], [63, 62], [62, 63], [63, 19], [19, 63], [63, 31], [31, 63], [63, 31], [31, 63], [63, 44], [44, 63], [63, 1], [1, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 18], [18, 63], [63, 67]]"
む→る,63,-786.5,2144.5,55,False,30,20000,D20000_seed1_alpha_beta_vs_beam_negamax,alpha_beta,late,む→う,2,-5626.5,10,1410.0,55,む,normal,False,1,True,True,False,False,False,False,166,む→る,False,alpha_beta,alpha_beta,208,202,same_outcome,"[[2, 55], [55, 63], [63, 2], [2, 8], [8, 28], [28, 58], [58, 16], [16, 60], [60, 8], [8, 28], [28, 58], [58, 36], [36, 14], [14, 63], [63, 28], [28, 63], [63, 63], [63, 55], [55, 58], [58, 55], [55, 58], [58, 58], [58, 14], [14, 55], [55, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 8], [8, 28], [28, 10], [10, 20], [20, 67]]"
つ→る,63,-916.5,534.0,28,False,42,20000,D20000_seed1_beam_negamax_vs_alpha_beta,alpha_beta,middle,つ→つ,28,-3903.0,11,866.5,28,つ,normal,False,1,True,True,False,False,False,False,119,つ→る,False,alpha_beta,alpha_beta,215,217,same_outcome_longer_survival,"[[28, 63], [63, 63], [63, 12], [12, 63], [63, 2], [2, 20], [20, 60], [60, 20], [20, 60], [60, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 52], [52, 20], [20, 2], [2, 63], [63, 46], [46, 20], [20, 2], [2, 55], [55, 28], [28, 58], [58, 20], [20, 9], [9, 20], [20, 54], [54, 20], [20, 27], [27, 20], [20, 27], [27, 20], [20, 1], [1, 20], [20, 1], [1, 20], [20, 1], [1, 20], [20, 7], [7, 20], [20, 7], [7, 20], [20, 17], [17, 20], [20, 2], [2, 63], [63, 2], [2, 55], [55, 63], [63, 28], [28, 63], [63, 63], [63, 55], [55, 58], [58, 8], [8, 46], [46, 55], [55, 58], [58, 8], [8, 46], [46, 55], [55, 58], [58, 55], [55, 58], [58, 16], [16, 61], [61, 46], [46, 16], [16, 60], [60, 48], [48, 8], [8, 58], [58, 14], [14, 46], [46, 55], [55, 58], [58, 58], [58, 61], [61, 58], [58, 61], [61, 28], [28, 58], [58, 58], [58, 36], [36, 55], [55, 60], [60, 36], [36, 46], [46, 61], [61, 46], [46, 28], [28, 58], [58, 36], [36, 28], [28, 10], [10, 20], [20, 67]]"
つ→る,63,-916.5,534.0,28,False,42,20000,D20000_seed1_beam_negamax_vs_pvs,pvs,middle,つ→つ,28,-3903.0,11,866.5,28,つ,normal,False,1,True,True,False,False,False,False,119,つ→る,False,pvs,pvs,215,217,same_outcome_longer_survival,"[[28, 63], [63, 63], [63, 12], [12, 63], [63, 2], [2, 20], [20, 60], [60, 20], [20, 60], [60, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 52], [52, 20], [20, 2], [2, 63], [63, 46], [46, 20], [20, 2], [2, 55], [55, 28], [28, 58], [58, 20], [20, 9], [9, 20], [20, 54], [54, 20], [20, 27], [27, 20], [20, 27], [27, 20], [20, 1], [1, 20], [20, 1], [1, 20], [20, 1], [1, 20], [20, 7], [7, 20], [20, 7], [7, 20], [20, 17], [17, 20], [20, 2], [2, 63], [63, 2], [2, 55], [55, 63], [63, 28], [28, 63], [63, 63], [63, 55], [55, 58], [58, 8], [8, 46], [46, 55], [55, 58], [58, 8], [8, 46], [46, 55], [55, 58], [58, 55], [55, 58], [58, 16], [16, 61], [61, 46], [46, 16], [16, 60], [60, 48], [48, 8], [8, 58], [58, 14], [14, 46], [46, 55], [55, 58], [58, 58], [58, 61], [61, 58], [58, 61], [61, 28], [28, 58], [58, 58], [58, 36], [36, 55], [55, 60], [60, 36], [36, 46], [46, 61], [61, 46], [46, 28], [28, 58], [58, 36], [36, 28], [28, 10], [10, 20], [20, 67]]"
げ→る,63,-866.5,1187.5,12,False,37,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,middle,げ→つ,28,-3903.0,14,866.5,12,げ,normal,False,1,False,True,False,False,False,False,126,げ→る,False,pvs,pvs,208,218,same_outcome_longer_survival,"[[28, 63], [63, 28], [28, 10], [10, 20], [20, 2], [2, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 52], [52, 20], [20, 2], [2, 63], [63, 59], [59, 20], [20, 2], [2, 55], [55, 28], [28, 10], [10, 63], [63, 2], [2, 63], [63, 2], [2, 55], [55, 63], [63, 55], [55, 60], [60, 63], [63, 63], [63, 63], [63, 62], [62, 63], [63, 31], [31, 63], [63, 31], [31, 63], [63, 46], [46, 20], [20, 9], [9, 20], [20, 1], [1, 20], [20, 1], [1, 20], [20, 54], [54, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 42], [42, 63], [63, 59], [59, 63], [63, 33], [33, 63], [63, 9], [9, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 44], [44, 20], [20, 27], [27, 20], [20, 27], [27, 20], [20, 1], [1, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 18], [18, 63], [63, 67]]"
く→る,63,-237.5,7897.289307479225,9,False,55,20000,D20000_seed2_alpha_beta_vs_beam_negamax,alpha_beta,late,く→む,55,-2706.0,9,8083.843823529412,9,く,normal,False,2,True,True,False,False,False,False,124,く→る,False,alpha_beta,alpha_beta,150,154,same_outcome_longer_survival,"[[55, 60], [60, 20], [20, 60], [60, 20], [20, 60], [60, 10], [10, 63], [63, 19], [19, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 19], [19, 63], [63, 44], [44, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 44], [44, 63], [63, 0], [0, 63], [63, 18], [18, 63], [63, 7], [7, 63], [63, 67]]"
く→る,63,-237.5,7897.282659279778,9,False,55,20000,D20000_seed2_beam_negamax_vs_alpha_beta,alpha_beta,late,く→む,55,-2706.0,9,8083.839705882353,9,く,normal,False,2,True,True,False,False,False,False,123,く→る,False,alpha_beta,alpha_beta,149,153,same_outcome_longer_survival,"[[55, 60], [60, 20], [20, 60], [60, 20], [20, 60], [60, 10], [10, 63], [63, 19], [19, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 19], [19, 63], [63, 44], [44, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 44], [44, 63], [63, 0], [0, 63], [63, 18], [18, 63], [63, 7], [7, 63], [63, 67]]"
く→る,63,-237.5,7897.282659279778,9,False,55,20000,D20000_seed2_beam_negamax_vs_pvs,pvs,late,く→む,55,-2706.0,9,8083.839705882353,9,く,normal,False,2,True,True,False,False,False,False,123,く→る,False,pvs,pvs,149,153,same_outcome_longer_survival,"[[55, 60], [60, 20], [20, 60], [60, 20], [20, 60], [60, 10], [10, 63], [63, 19], [19, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 19], [19, 63], [63, 44], [44, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 44], [44, 63], [63, 0], [0, 63], [63, 18], [18, 63], [63, 7], [7, 63], [63, 67]]"
く→る,63,-237.5,7897.289307479225,9,False,55,20000,D20000_seed2_pvs_vs_beam_negamax,pvs,late,く→む,55,-2706.0,9,8083.843823529412,9,く,normal,False,2,True,True,False,False,False,False,124,く→る,False,pvs,pvs,150,154,same_outcome_longer_survival,"[[55, 60], [60, 20], [20, 60], [60, 20], [20, 60], [60, 10], [10, 63], [63, 19], [19, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 19], [19, 63], [63, 44], [44, 20], [20, 2], [2, 20], [20, 2], [2, 63], [63, 44], [44, 63], [63, 0], [0, 63], [63, 18], [18, 63], [63, 7], [7, 63], [63, 67]]"
