variant,runs,mean_time_sec,mean_nodes,timeout_rate,mean_research_rate
alpha_beta_full_root_window,90,0.2305709813734413,1795.0555555555557,0.0,0.0
alpha_beta_shared_root_alpha,90,0.05572065747756925,471.3333333333333,0.0,0.0
pvs_nextafter_window,90,0.055492470824780565,463.6666666666667,0.0,0.01184956208140134
pvs_unit_window,90,0.05599802825470558,463.8888888888889,0.0,0.011841427835936159
