agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta,0,,{},12,0.08036161726340652,0.013467283686622977,early,12,alpha_beta_d5_b12,156,5,5,5,adaptive_disabled,False,5,0.5096670419443399,20,0.3769633285701275,1182,1686,0.002185916993767023,1468,0,7041,0.00011749984696507454,seed0_early_t0,fixed,5540,0,0.0708166619297117,0.03531005163677037,5000,0,0.0,normal,1686,1.0,0.02427358296699822,619.0,0,20→20,12,,tuning,20,False,0,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.022489041788503528,0.0030418315436691046,middle,2,alpha_beta_d5_b12,40,5,5,5,adaptive_disabled,False,5,0.15079666604287922,63,0.11387251084670424,264,2,7.832888513803482e-06,367,0,1501,0.00021199905313551426,seed0_middle_t27,fixed,1129,0,0.02582358685322106,0.010722027393057942,2,0,0.0,critical,2,1.0,0.00015870900824666023,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.09040616755373776,0.015229919226840138,late,12,alpha_beta_d5_b12,256,5,5,5,adaptive_disabled,False,5,0.282622333150357,28,0.1548872923012823,542,23,5.320785567164421e-05,1063,0,8233,6.449944339692593e-05,seed0_late_t49,fixed,7157,0,0.1054740003310144,0.020808749366551638,78,0,0.0,normal,23,1.0,0.0013345838524401188,999995.0,0,11→28,12,,tuning,11,False,49,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.06003758264705539,0.009397821268066764,few_legal,2,alpha_beta_d5_b12,206,5,5,5,adaptive_disabled,False,5,0.3096337500028312,32,0.21982498676516116,815,2,7.082941010594368e-06,1085,0,6288,0.0004842919297516346,seed0_few_legal_t6,fixed,5192,0,0.07004700251854956,0.01902126078493893,2,0,0.0,critical,2,1.0,0.00024912506341934204,597.0,0,35→32,2,,tuning,35,False,6,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.15904553956352174,0.023713737027719617,early_pruning,9,alpha_beta_d5_b12,416,5,5,5,adaptive_disabled,False,5,1.0001385828945786,66,0.7602490114513785,1339,26,3.416696563363075e-05,1910,0,12070,8.812476880848408e-05,seed0_early_pruning_t17,fixed,10118,0,0.18577458709478378,0.053075317526236176,44,0,0.0,normal,26,0.75,0.0009173750877380371,779.0,0,28→66,12,,tuning,28,True,17,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.07780415937304497,0.015328294364735484,early,12,alpha_beta_d5_b12,188,5,5,5,adaptive_disabled,False,5,0.5860025000292808,35,0.44997435668483377,1603,1678,0.001563291996717453,1999,0,8397,0.0001627500168979168,seed1_early_t0,fixed,6283,0,0.08037188439629972,0.039293049834668636,5000,0,0.0,normal,1678,1.0,0.01463716709986329,758.5,1,13→35,12,,tuning,13,False,0,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.1547034124378115,0.024080699309706688,middle,12,alpha_beta_d5_b12,492,5,5,5,adaptive_disabled,False,5,0.9754248328972608,61,0.7252494571730494,2307,37,3.9499951526522636e-05,3102,0,15126,5.5958982557058334e-05,seed1_middle_t120,fixed,11847,0,0.18162037013098598,0.0677796306554228,90,0,0.0,normal,37,1.0,0.0006799160037189722,768.0,1,9→61,12,,tuning,9,False,120,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.003086583688855171,0.00033766566775739193,late,3,alpha_beta_d5_b12,14,5,5,5,adaptive_disabled,False,5,0.0046187499538064,63,0.000509290024638176,10,3,2.0666979253292084e-05,31,0,291,0.0001089989673346281,seed1_late_t236,fixed,253,0,0.0033446638844907284,0.0004981711972504854,4,0,0.0,danger,3,1.0,0.00013695890083909035,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.08127590408548713,0.01473954669199884,few_legal,2,alpha_beta_d5_b12,262,5,5,5,adaptive_disabled,False,5,0.3945079161785543,2,0.2626220465172082,882,2,9.665964171290398e-06,1215,0,7364,0.00016799895092844963,seed1_few_legal_t121,fixed,6111,0,0.09792275330983102,0.03372940933331847,4,0,0.0,critical,2,1.0,5.6042103096842766e-05,648.5,1,20→2,2,,tuning,20,False,121,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.14925030106678605,0.02426978014409542,early_pruning,3,alpha_beta_d5_b12,601,5,5,5,adaptive_disabled,False,5,1.000169833889231,58,0.758314405567944,2243,29,3.279210068285465e-05,3038,0,16185,8.216686546802521e-05,seed1_early_pruning_t75,fixed,13011,0,0.1763403166551143,0.06489286082796752,66,0,0.0,normal,29,0.25,0.0005072918720543385,787.0,1,2→58,12,,tuning,2,True,75,False,alpha_beta_d5_b12,True,True,,
