exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
,beam_negamax,0.25588182592764497,improved_fixed_beam_negamax,0,False,no_legal_move,D5000_seed0_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,beam_negamax,0.20563151942042168,improved_adaptive_beam_negamax,0,0,65,first
,pvs,0.26119713788816273,improved_fixed_pvs,0,False,no_legal_move,D5000_seed0_improved_fixed_pvs_vs_baseline_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.1319258077374588,baseline_pvs,0,0,52,second
,pvs,0.28546060259955436,improved_fixed_pvs,1,False,no_legal_move,D5000_seed0_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,pvs,0.253393379971385,improved_adaptive_pvs,1,0,51,first
,alpha_beta,0.21882794865900101,baseline_alpha_beta,1,False,ended_with_n,D5000_seed1_baseline_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.2532146381709026,improved_fixed_alpha_beta,2,1,33,second
,beam_negamax,0.1778151793172583,baseline_beam_negamax,0,False,ended_with_n,D5000_seed1_baseline_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.19540982668925272,improved_fixed_beam_negamax,0,1,39,second
,pvs,0.10854839791456963,baseline_pvs,0,False,ended_with_n,D5000_seed1_baseline_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.3317580292136687,improved_fixed_pvs,7,1,235,second
,alpha_beta,0.21974268449432127,improved_adaptive_alpha_beta,0,False,ended_with_n,D5000_seed1_improved_adaptive_alpha_beta_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.060939345323825125,improved_adaptive_beam_negamax,0,1,146,first
,alpha_beta,0.10881826509344014,improved_adaptive_alpha_beta,0,False,ended_with_n,D5000_seed1_improved_adaptive_alpha_beta_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.2969486188313395,improved_adaptive_pvs,2,1,148,first
,alpha_beta,0.1264429043923669,improved_adaptive_alpha_beta,0,False,ended_with_n,D5000_seed1_improved_adaptive_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.1518993776408024,improved_fixed_alpha_beta,1,1,33,second
,beam_negamax,0.0932506284395556,improved_adaptive_beam_negamax,0,False,ended_with_n,D5000_seed1_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.18265004828378248,improved_adaptive_alpha_beta,0,1,241,second
,beam_negamax,0.1935670722120752,improved_adaptive_beam_negamax,0,False,ended_with_n,D5000_seed1_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.2631436875090003,improved_adaptive_pvs,1,1,29,second
,beam_negamax,0.211026749946177,improved_adaptive_beam_negamax,0,False,ended_with_n,D5000_seed1_improved_adaptive_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.22675927636507703,improved_fixed_beam_negamax,0,1,39,second
,pvs,0.28866835933439033,improved_adaptive_pvs,2,False,ended_with_n,D5000_seed1_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.1410092455410068,improved_adaptive_alpha_beta,0,1,186,first
