agent,reference_agent,games,wins,reference_wins,draws,decisive_win_rate,ci95_low,ci95_high,two_sided_binomial_p
branch_switch_alpha_beta,beam_alpha_beta,30,8,22,0,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.016124801710247993
dynamic_beam_alpha_beta,beam_alpha_beta,30,12,18,0,0.4,0.24590628116801852,0.5767963974667752,0.361594608053565
dynamic_beam_pvs,beam_alpha_beta,30,12,18,0,0.4,0.24590628116801852,0.5767963974667752,0.361594608053565
endgame_exact_hybrid,beam_alpha_beta,30,16,14,0,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.855535551905632
integrated_adaptive_hybrid,beam_alpha_beta,30,5,25,0,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.00032491423189640045
research_adaptive_beam,beam_alpha_beta,30,7,23,0,0.23333333333333334,0.11792388144489496,0.40928326158122164,0.005222879350185394
