left_agent,right_agent,games,left_wins,right_wins,draws,left_decisive_win_rate,ci95_low,ci95_high,two_sided_binomial_p
beam_alpha_beta,branch_switch_alpha_beta,30,22,8,0,0.7333333333333333,0.555520383048111,0.8581733668040368,0.016124801710247993
beam_alpha_beta,dynamic_beam_alpha_beta,30,18,12,0,0.6,0.42320360253322475,0.7540937188319815,0.361594608053565
beam_alpha_beta,dynamic_beam_pvs,30,18,12,0,0.6,0.42320360253322475,0.7540937188319815,0.361594608053565
beam_alpha_beta,endgame_exact_hybrid,30,14,16,0,0.4666666666666667,0.30232388907699753,0.638577003801267,0.855535551905632
beam_alpha_beta,integrated_adaptive_hybrid,30,25,5,0,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.00032491423189640045
beam_alpha_beta,research_adaptive_beam,30,23,7,0,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.005222879350185394
