runtime,dict_size,seed,first_agent,second_agent,winner,loss_reason,turn_count,first_avg_time_sec,second_avg_time_sec,first_timeout_count,second_timeout_count,match_elapsed_time_sec
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,greedy,minimax,second,ended_with_n,19,0.0004115830990485847,0.023107958336671192,0,0,0.21233608294278383
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,alpha_beta,greedy,first,no_legal_move,31,0.09403679427487077,4.326665463546912e-05,0,0,1.5056893340079114
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,alpha_beta,beam_negamax,second,no_legal_move,56,0.09475550603487395,0.059635644288001846,0,0,4.323976167012006
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,alpha_beta,pvs,first,no_legal_move,27,0.05519316357926333,0.049427140942917995,0,0,1.4157298750942573
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,alpha_beta,minimax,second,no_legal_move,44,0.04017626503694125,0.02724273295924914,0,0,1.4839751670369878
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,beam_negamax,greedy,first,no_legal_move,25,0.0440322499220761,4.681590750503043e-05,0,0,0.5732786660082638
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,beam_negamax,alpha_beta,second,no_legal_move,38,0.053410239052027464,0.0535556623761199,0,0,2.0331992919091135
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,beam_negamax,pvs,second,no_legal_move,38,0.05346738819743654,0.05299434217158705,0,0,2.023495708941482
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,beam_negamax,minimax,first,no_legal_move,45,0.05888927535093187,0.0272554034282538,0,0,1.9548536670627072
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,pvs,greedy,first,no_legal_move,31,0.10773840623733122,4.540008182326953e-05,0,0,1.7249762080609798
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,pvs,alpha_beta,first,no_legal_move,27,0.057442797730410736,0.04173448085426711,0,0,1.3471221670042723
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,pvs,beam_negamax,second,no_legal_move,56,0.09734970986028202,0.06098426928760351,0,0,4.434477915987372
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,pvs,minimax,second,no_legal_move,44,0.03944540899564428,0.026609877002721823,0,0,1.4538507919060066
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,minimax,greedy,first,no_legal_move,55,0.02699601184992519,3.322988696810272e-05,0,0,0.7572665419429541
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,minimax,alpha_beta,first,no_legal_move,61,0.029178282358653603,0.14568747093435377,0,0,5.276513165910728
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,minimax,beam_negamax,second,no_legal_move,90,0.02972981208262758,0.06123822776911159,0,0,4.095369459013455
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D3000_L2-12_seed0.runtime.json,3000,0,minimax,pvs,first,no_legal_move,61,0.030551043031136354,0.18276886804184567,0,0,6.431220458005555
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,greedy,alpha_beta,second,no_legal_move,20,0.0006438376032747329,0.062158600287511946,0,0,0.6283225829247385
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,greedy,beam_negamax,second,no_legal_move,24,0.0005593230113542328,0.07958586115273647,0,0,0.9622122090077028
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,greedy,pvs,second,no_legal_move,20,0.0005338544142432511,0.0718117791111581,0,0,0.7237446251092479
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,greedy,minimax,second,no_legal_move,20,0.0005631542997434735,0.03776982080889866,0,0,0.38354495796374977
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,alpha_beta,greedy,first,no_legal_move,21,0.09074995092073963,7.445011287927627e-05,0,0,0.9993596249260008
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,alpha_beta,beam_negamax,first,no_legal_move,51,0.0596850193105638,0.06646854987833649,0,0,3.2145554999588057
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,alpha_beta,pvs,first,no_legal_move,45,0.06614245119018723,0.057560337088282475,0,0,2.788495250046253
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,alpha_beta,minimax,first,no_legal_move,61,0.05918145560914831,0.03995800570119172,0,0,3.034883458050899
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,beam_negamax,greedy,first,no_legal_move,27,0.09348530063704986,4.9121848020989164e-05,0,0,1.3100042910082266
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,beam_negamax,alpha_beta,second,no_legal_move,54,0.06717910639148343,0.05636318367733448,0,0,3.3366965840104967
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,beam_negamax,pvs,second,no_legal_move,54,0.06680621602572501,0.06600731022276536,0,0,3.587067333050072
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,beam_negamax,minimax,second,no_legal_move,72,0.06498549769296208,0.03785266437140914,0,0,3.7036013749893755
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,pvs,greedy,first,no_legal_move,21,0.10971971208610656,7.779198931530118e-05,0,0,1.2080686249537393
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,pvs,alpha_beta,first,no_legal_move,45,0.07972622827788733,0.05466959854609079,0,0,3.0372747079236433
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,pvs,beam_negamax,first,no_legal_move,51,0.06441339253573321,0.06193870987743139,0,0,3.22445624996908
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,pvs,minimax,first,no_legal_move,61,0.06503455933078282,0.03559452642221004,0,0,3.0849389999639243
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,minimax,greedy,first,no_legal_move,31,0.03708630993787665,3.6408263258635995e-05,0,0,0.5942408749833703
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,minimax,alpha_beta,first,no_legal_move,57,0.038032959705090214,0.06442030197441843,0,0,2.907446749974042
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,minimax,beam_negamax,second,no_legal_move,66,0.034137620026189266,0.05295890524179082,0,0,2.8751185840228572
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed0.runtime.json,5000,0,minimax,pvs,first,no_legal_move,57,0.03709607041473019,0.07611033335394625,0,0,3.207647250033915
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,greedy,alpha_beta,second,ended_with_n,37,0.0003871403230158122,0.1253457082914085,0,0,2.264135375036858
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,greedy,beam_negamax,second,ended_with_n,53,0.00027114973851928006,0.10892489264593817,0,0,2.8403988329228014
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,greedy,pvs,second,ended_with_n,37,0.00040741010544527516,0.12040258583147079,0,0,2.1757096250075847
