match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_minimax_vs_graph_control_rep0,18,1000,80-100%,0.983,False,7,0.8039781459896123,0.30923576883347403,1,7,False,0.8039781459896123,False,True,True,local_only,True,False,0.0016600409289821982,0.0007220001425594091,8.371076546609402e-05,0.0001362490002065897
D1000_seed0_minimax_vs_graph_control_rep0,20,1000,80-100%,0.981,False,3,0.3615939883449535,0.14808894001399647,1,3,False,0.3615939883449535,False,True,True,local_only,True,False,0.0007304169703274965,0.00030375109054148197,3.804208245128393e-05,6.950111128389835e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,2,1000,80-100%,0.999,False,2,0.0,0.0,1,1,True,1000000010.3216455,False,False,False,both,True,True,0.00039883307181298733,0.00021091708913445473,1.4458899386227131e-05,2.5250017642974854e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,4,1000,80-100%,0.997,False,4,2.4360627910128088,0.9706227388254353,1,4,False,2.4360627910128088,False,True,True,local_only,True,True,0.0010457499884068966,0.0004520009970292449,5.062518175691366e-05,9.150092955678701e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,6,1000,80-100%,0.995,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.00024345796555280685,0.00010562501847743988,1.3083103112876415e-05,2.0042061805725098e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,8,1000,80-100%,0.993,False,7,0.7849348222019135,0.2854760961096204,1,6,False,1000000011.2731197,False,False,False,both,True,True,0.0016446249792352319,0.0007441679481416941,7.983297109603882e-05,0.00011975085362792015
D1000_seed0_alpha_beta_vs_graph_control_rep0,10,1000,80-100%,0.991,False,12,1.198964209998712,0.38414523245958787,1,11,False,1000000011.2536076,False,False,False,both,True,False,0.0028147080447524786,0.0012636668980121613,0.00014237279538065195,0.0002285010414198041
D1000_seed0_alpha_beta_vs_graph_control_rep0,12,1000,80-100%,0.989,False,2,0.26232781012623896,0.13116390506311948,1,2,False,0.26232781012623896,False,True,True,local_only,True,True,0.0005327919498085976,0.00020933302585035563,2.6416964828968048e-05,3.925000783056021e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,14,1000,80-100%,0.987,False,7,1.0612040652319141,0.34935371020150213,1,7,False,1.0612040652319141,False,True,True,local_only,True,False,0.0017131250351667404,0.0007253331132233143,8.999917190521955e-05,0.0001489992719143629
D1000_seed0_alpha_beta_vs_graph_control_rep0,16,1000,80-100%,0.985,False,4,0.5862827101916874,0.24863449376785973,1,3,False,1000000010.91747,False,False,False,both,True,False,0.000865875044837594,0.00041270896326750517,3.945908974856138e-05,6.662611849606037e-05
