agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta,0,,{},12,0.01872454909607768,0.0019092489965260029,early,12,alpha_beta_d5_b12,156,5,5,5,adaptive_disabled,False,5,0.12215091707184911,20,0.09364174492657185,1182,1686,0.0001670829951763153,1468,0,7041,2.9750866815447807e-05,seed0_early_t0,fixed,5540,0,0.016492072958499193,0.007497390266507864,5000,0,0.0,normal,1686,1.0,0.004322875058278441,619.0,0,20→20,12,,tuning,20,False,0,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.004566248040646315,0.0005369165446609259,middle,2,alpha_beta_d5_b12,40,5,5,5,adaptive_disabled,False,5,0.029279540991410613,63,0.022083256859332323,264,2,2.5420449674129486e-06,367,0,1501,2.2957799956202507e-05,seed0_middle_t27,fixed,1129,0,0.005137372063472867,0.0020140372216701508,2,0,0.0,critical,2,1.0,1.937500201165676e-05,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.03995466628111899,0.004887740593403578,late,12,alpha_beta_d5_b12,256,5,5,5,adaptive_disabled,False,5,0.1288930829614401,28,0.07395644509233534,542,23,5.332985892891884e-06,1063,0,8233,2.5167129933834076e-05,seed0_late_t49,fixed,7157,0,0.04554819129407406,0.009276613593101501,78,0,0.0,normal,23,1.0,8.133286610245705e-05,999995.0,0,11→28,12,,tuning,11,False,49,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.01963207544758916,0.0025975897442549467,few_legal,2,alpha_beta_d5_b12,206,5,5,5,adaptive_disabled,False,5,0.09842983400449157,32,0.06911150272935629,815,2,5.041947588324547e-06,1085,0,6288,0.00017120898701250553,seed0_few_legal_t6,fixed,5192,0,0.022455742117017508,0.006648922339081764,2,0,0.0,critical,2,1.0,3.741588443517685e-05,597.0,0,35→32,2,,tuning,35,False,6,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.07988014328293502,0.011878709075972438,early_pruning,12,alpha_beta_d5_b12,552,5,5,5,adaptive_disabled,False,5,0.4641511249355972,59,0.3438323815353215,1874,26,1.2208940461277962e-05,2640,0,16133,2.2416003048419952e-05,seed0_early_pruning_t17,fixed,13475,0,0.09279992547817528,0.027299317996948957,44,0,0.0,normal,26,1.0,0.0001848749816417694,797.0,0,28→59,12,,tuning,28,False,17,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.032328848261386156,0.0038732897955924273,early,12,alpha_beta_d5_b12,188,5,5,5,adaptive_disabled,False,5,0.24769562482833862,35,0.19438857142813504,1603,1678,0.00022854097187519073,1999,0,8397,4.029180854558945e-05,seed1_early_t0,fixed,6283,0,0.031284712720662355,0.016335673863068223,5000,0,0.0,normal,1678,1.0,0.005417834036052227,758.5,1,13→35,12,,tuning,13,False,0,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.04714050330221653,0.005859314231202006,middle,12,alpha_beta_d5_b12,492,5,5,5,adaptive_disabled,False,5,0.28795129084028304,61,0.2164652654901147,2307,37,5.375128239393234e-06,3102,0,15126,2.7165748178958893e-05,seed1_middle_t120,fixed,11847,0,0.0535333885345608,0.017810554010793567,90,0,0.0,normal,37,1.0,0.00010954192839562893,768.0,1,9→61,12,,tuning,9,False,120,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.001821374986320734,0.0002059154212474823,late,3,alpha_beta_d5_b12,14,5,5,5,adaptive_disabled,False,5,0.0028002499602735043,63,0.00030737509950995445,10,3,6.083166226744652e-06,31,0,291,0.00016779289580881596,seed1_late_t236,fixed,253,0,0.0020083757117390633,0.0002650402020663023,4,0,0.0,danger,3,1.0,4.5582884922623634e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.0383576366584748,0.0060402946546673775,few_legal,2,alpha_beta_d5_b12,262,5,5,5,adaptive_disabled,False,5,0.17794587509706616,2,0.11999591393396258,882,2,5.37489540874958e-06,1215,0,7364,0.00013758335262537003,seed1_few_legal_t121,fixed,6111,0,0.04509136057458818,0.012684059329330921,4,0,0.0,critical,2,1.0,3.158301115036011e-05,648.5,1,20→2,2,,tuning,20,False,121,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.1265202567446977,0.017842731438577175,early_pruning,12,alpha_beta_d5_b12,1158,5,5,5,adaptive_disabled,False,5,0.8905732079874724,61,0.6941506082657725,4837,29,1.1666910722851753e-05,6487,0,31623,2.4250010028481483e-05,seed1_early_pruning_t75,fixed,24880,0,0.1460633270908147,0.05010743974708021,66,0,0.0,normal,29,1.0,0.0002159159630537033,799.5,1,2→61,12,,tuning,2,False,75,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},16,0.04993433249182999,0.006706250132992864,early,16,alpha_beta_d5_b16,295,5,5,5,adaptive_disabled,False,5,0.395496416836977,35,0.31070032017305493,2299,1686,0.00017258292064070702,2776,0,10840,5.566678009927273e-05,seed0_early_t0,fixed,8006,0,0.04910997091792524,0.027133500901982188,5000,0,0.0,normal,1686,1.0,0.008324375143274665,597.0,0,1→35,16,,tuning,1,False,0,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.008080293890088797,0.0009434614330530167,middle,2,alpha_beta_d5_b16,50,5,5,5,adaptive_disabled,False,5,0.05394795909523964,63,0.04120787396095693,336,2,3.2081734389066696e-06,463,0,1927,5.904189310967922e-05,seed0_middle_t27,fixed,1444,0,0.009109914069995284,0.0035478370264172554,2,0,0.0,critical,2,1.0,2.0083971321582794e-05,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.05691007664427161,0.007112078368663788,late,16,alpha_beta_d5_b16,326,5,5,5,adaptive_disabled,False,5,0.19246874982491136,28,0.11260275333188474,664,23,5.417037755250931e-06,1325,0,10785,3.216671757400036e-05,seed0_late_t49,fixed,9440,0,0.06454705190844834,0.015136235859245062,78,0,0.0,normal,23,1.0,0.00014512497000396252,999995.0,0,11→28,16,,tuning,11,False,49,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.04182592197321355,0.006886419840157032,few_legal,2,alpha_beta_d5_b16,260,5,5,5,adaptive_disabled,False,5,0.20868391706608236,32,0.14555189991369843,1031,2,4.624947905540466e-06,1361,0,8121,7.27497972548008e-05,seed0_few_legal_t6,fixed,6740,0,0.04918584180995822,0.013832008466124535,2,0,0.0,critical,2,1.0,3.679213114082813e-05,597.0,0,35→32,2,,tuning,35,False,6,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.06609618780203164,0.008179992437362671,early_pruning,16,alpha_beta_d5_b16,733,5,5,5,adaptive_disabled,False,5,0.39281604206189513,59,0.2977453712373972,2555,26,6.207963451743126e-06,3567,0,21756,1.775100827217102e-05,seed0_early_pruning_t17,fixed,18153,0,0.07508216286078095,0.019868423929437995,44,0,0.0,normal,26,1.0,9.612506255507469e-05,797.0,0,28→59,16,,tuning,28,False,17,False,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.04306624853052199,0.005723930895328522,early,16,alpha_beta_d5_b16,296,5,5,5,adaptive_disabled,False,5,0.37963895802386105,35,0.3054984004702419,2861,1678,0.00015949993394315243,3493,0,12443,6.22081570327282e-05,seed1_early_t0,fixed,8728,0,0.04445553501136601,0.02437931438907981,5000,0,0.0,normal,1678,1.0,0.005084000062197447,758.5,1,13→35,16,,tuning,13,False,0,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.06250369432382286,0.007904428290203214,middle,16,alpha_beta_d5_b16,623,5,5,5,adaptive_disabled,False,5,0.4352506250143051,61,0.3367146640084684,3439,37,7.4589625000953674e-06,4497,0,20043,1.8333084881305695e-05,seed1_middle_t120,fixed,15238,0,0.07112112874165177,0.02726441528648138,90,0,0.0,normal,37,1.0,0.00012462493032217026,768.0,1,9→61,16,,tuning,9,False,120,False,alpha_beta_d5_b16,True,True,,
