dict_size,random_seed,searched_state_count,memo_size,elapsed_time_sec,timed_out,limit_reason,is_first_player_win,winning_first_move_count,losing_first_move_count,n_ending_count,start_distribution,end_distribution
100,1,1187,1187,0.000686,False,,True,39,61,12,"{""あ"": 3, ""い"": 8, ""う"": 1, ""お"": 1, ""か"": 4, ""が"": 1, ""き"": 2, ""く"": 1, ""こ"": 5, ""ご"": 1, ""さ"": 1, ""し"": 10, ""じ"": 2, ""せ"": 2, ""ぜ"": 1, ""そ"": 1, ""ぞ"": 1, ""た"": 1, ""ち"": 2, ""つ"": 1, ""て"": 1, ""で"": 1, ""と"": 4, ""ど"": 1, ""な"": 3, ""に"": 2, ""ね"": 2, ""は"": 2, ""ば"": 2, ""ぱ"": 1, ""ひ"": 3, ""ふ"": 3, ""ぶ"": 1, ""ぷ"": 1, ""へ"": 2, ""ぺ"": 1, ""ほ"": 5, ""ぼ"": 1, ""ま"": 2, ""む"": 2, ""め"": 2, ""も"": 2, ""よ"": 1, ""ら"": 2, ""り"": 2, ""れ"": 2}","{""あ"": 4, ""い"": 14, ""う"": 11, ""え"": 2, ""お"": 1, ""か"": 2, ""き"": 3, ""く"": 10, ""け"": 1, ""げ"": 1, ""こ"": 1, ""し"": 1, ""す"": 3, ""そ"": 1, ""ち"": 2, ""つ"": 4, ""で"": 1, ""と"": 2, ""ど"": 1, ""に"": 1, ""ふ"": 1, ""ぶ"": 1, ""ほ"": 1, ""ま"": 1, ""む"": 4, ""め"": 2, ""も"": 1, ""ら"": 4, ""り"": 2, ""る"": 4, ""ろ"": 1, ""ん"": 12}"
100,2,659,659,0.000400,False,,True,43,57,15,"{""あ"": 1, ""い"": 4, ""え"": 1, ""お"": 2, ""か"": 3, ""が"": 2, ""く"": 1, ""げ"": 2, ""こ"": 7, ""さ"": 1, ""ざ"": 1, ""し"": 5, ""じ"": 2, ""す"": 4, ""そ"": 2, ""ぞ"": 1, ""た"": 2, ""だ"": 2, ""ち"": 1, ""つ"": 1, ""て"": 5, ""で"": 3, ""と"": 2, ""な"": 2, ""に"": 1, ""ね"": 1, ""は"": 2, ""ぱ"": 3, ""ひ"": 3, ""び"": 1, ""ぴ"": 1, ""ふ"": 1, ""ぶ"": 2, ""ぷ"": 1, ""べ"": 1, ""ほ"": 7, ""ぼ"": 2, ""ぽ"": 1, ""ま"": 4, ""み"": 1, ""め"": 1, ""や"": 3, ""ゆ"": 2, ""よ"": 1, ""り"": 2, ""れ"": 2}","{""あ"": 1, ""い"": 16, ""う"": 6, ""え"": 1, ""か"": 2, ""が"": 1, ""き"": 7, ""ぎ"": 3, ""く"": 5, ""こ"": 1, ""ご"": 1, ""じ"": 2, ""す"": 2, ""ち"": 1, ""つ"": 5, ""と"": 5, ""ど"": 2, ""な"": 1, ""に"": 1, ""ふ"": 1, ""ぶ"": 2, ""ぷ"": 1, ""ぼ"": 1, ""む"": 1, ""や"": 3, ""ゆ"": 1, ""よ"": 1, ""ら"": 2, ""り"": 1, ""る"": 6, ""れ"": 1, ""ろ"": 1, ""ん"": 15}"
100,3,4688,4688,0.002587,False,,True,50,50,10,"{""あ"": 2, ""い"": 5, ""う"": 3, ""お"": 4, ""か"": 2, ""が"": 1, ""き"": 2, ""ぎ"": 1, ""く"": 2, ""け"": 3, ""げ"": 1, ""こ"": 1, ""さ"": 1, ""し"": 7, ""じ"": 2, ""す"": 4, ""せ"": 2, ""そ"": 2, ""だ"": 2, ""ち"": 2, ""つ"": 1, ""で"": 1, ""と"": 2, ""ど"": 3, ""な"": 2, ""に"": 2, ""ね"": 1, ""の"": 1, ""は"": 3, ""ぱ"": 1, ""ふ"": 6, ""ぶ"": 1, ""へ"": 1, ""ほ"": 2, ""ま"": 1, ""み"": 1, ""む"": 2, ""め"": 2, ""も"": 2, ""よ"": 4, ""ら"": 1, ""り"": 4, ""る"": 1, ""れ"": 2, ""わ"": 3, ""ゔ"": 1}","{""あ"": 1, ""い"": 13, ""う"": 12, ""え"": 1, ""お"": 1, ""か"": 1, ""が"": 1, ""き"": 4, ""く"": 5, ""ぐ"": 1, ""げ"": 1, ""こ"": 2, ""し"": 1, ""じ"": 1, ""す"": 5, ""た"": 1, ""ち"": 2, ""つ"": 7, ""て"": 1, ""と"": 3, ""ど"": 1, ""に"": 2, ""ね"": 1, ""び"": 2, ""ふ"": 1, ""ぶ"": 1, ""ぷ"": 1, ""ま"": 1, ""む"": 3, ""め"": 1, ""も"": 1, ""や"": 4, ""り"": 2, ""る"": 5, ""ん"": 10}"
100,4,480,480,0.000332,False,,True,46,54,12,"{""あ"": 1, ""い"": 3, ""う"": 2, ""え"": 1, ""お"": 4, ""か"": 7, ""が"": 1, ""き"": 1, ""ぐ"": 1, ""け"": 1, ""げ"": 1, ""こ"": 5, ""さ"": 5, ""し"": 7, ""じ"": 4, ""す"": 4, ""ず"": 2, ""せ"": 6, ""そ"": 3, ""ぞ"": 1, ""た"": 3, ""だ"": 2, ""ち"": 2, ""て"": 3, ""と"": 1, ""ど"": 1, ""な"": 2, ""ね"": 2, ""は"": 3, ""ば"": 1, ""ひ"": 2, ""び"": 1, ""ふ"": 3, ""ほ"": 2, ""ま"": 2, ""み"": 2, ""め"": 2, ""や"": 1, ""よ"": 1, ""り"": 2, ""ろ"": 1, ""ゔ"": 1}","{""あ"": 3, ""い"": 9, ""う"": 6, ""お"": 2, ""か"": 2, ""き"": 6, ""ぎ"": 1, ""く"": 5, ""ぐ"": 1, ""こ"": 2, ""さ"": 1, ""し"": 2, ""じ"": 2, ""す"": 7, ""そ"": 1, ""ち"": 2, ""つ"": 5, ""と"": 4, ""な"": 1, ""に"": 1, ""ね"": 1, ""ぶ"": 1, ""ぷ"": 1, ""ぼ"": 1, ""み"": 1, ""む"": 1, ""め"": 1, ""や"": 1, ""ゆ"": 3, ""よ"": 1, ""ら"": 2, ""り"": 1, ""る"": 8, ""れ"": 1, ""わ"": 1, ""ん"": 12}"
125,0,481,481,0.000353,False,,True,53,72,16,"{""あ"": 3, ""い"": 1, ""う"": 2, ""お"": 5, ""か"": 11, ""が"": 1, ""き"": 3, ""ぎ"": 1, ""く"": 3, ""ぐ"": 1, ""け"": 1, ""こ"": 2, ""ご"": 2, ""さ"": 4, ""し"": 9, ""じ"": 4, ""す"": 3, ""せ"": 4, ""そ"": 2, ""た"": 4, ""だ"": 3, ""ち"": 4, ""て"": 3, ""と"": 1, ""ど"": 2, ""な"": 2, ""に"": 1, ""の"": 2, ""は"": 2, ""ば"": 1, ""ぱ"": 1, ""ひ"": 2, ""ふ"": 4, ""ぶ"": 2, ""ぷ"": 1, ""へ"": 2, ""ほ"": 2, ""ぼ"": 1, ""ま"": 3, ""み"": 1, ""む"": 3, ""め"": 3, ""も"": 2, ""や"": 1, ""ゆ"": 1, ""よ"": 1, ""ら"": 1, ""り"": 4, ""ろ"": 1, ""わ"": 2}","{""あ"": 1, ""い"": 15, ""う"": 10, ""え"": 1, ""か"": 1, ""き"": 2, ""く"": 11, ""ぐ"": 3, ""け"": 1, ""こ"": 1, ""さ"": 1, ""し"": 1, ""じ"": 1, ""す"": 4, ""ず"": 2, ""せ"": 1, ""そ"": 1, ""た"": 2, ""ち"": 2, ""つ"": 3, ""と"": 4, ""ど"": 6, ""に"": 1, ""ば"": 1, ""ぶ"": 4, ""ぷ"": 2, ""ま"": 1, ""み"": 2, ""む"": 1, ""め"": 1, ""も"": 1, ""や"": 3, ""ゆ"": 1, ""よ"": 1, ""り"": 3, ""る"": 9, ""れ"": 3, ""ろ"": 1, ""ん"": 16}"
125,1,4912,4912,0.003423,False,,True,45,80,15,"{""あ"": 5, ""い"": 8, ""う"": 1, ""お"": 2, ""か"": 4, ""が"": 1, ""き"": 3, ""く"": 1, ""こ"": 5, ""ご"": 1, ""さ"": 3, ""し"": 10, ""じ"": 2, ""す"": 1, ""せ"": 2, ""ぜ"": 1, ""そ"": 1, ""ぞ"": 1, ""た"": 1, ""ち"": 2, ""つ"": 2, ""て"": 2, ""で"": 2, ""と"": 4, ""ど"": 2, ""な"": 3, ""に"": 2, ""ね"": 4, ""は"": 3, ""ば"": 2, ""ぱ"": 1, ""ひ"": 3, ""ふ"": 4, ""ぶ"": 2, ""ぷ"": 1, ""へ"": 2, ""ぺ"": 1, ""ほ"": 6, ""ぼ"": 2, ""ま"": 3, ""み"": 1, ""む"": 3, ""め"": 3, ""も"": 3, ""や"": 1, ""よ"": 2, ""ら"": 2, ""り"": 2, ""れ"": 2}","{""あ"": 6, ""い"": 15, ""う"": 14, ""え"": 2, ""お"": 1, ""か"": 2, ""き"": 4, ""く"": 14, ""け"": 1, ""げ"": 1, ""こ"": 1, ""し"": 1, ""す"": 5, ""そ"": 1, ""た"": 2, ""ち"": 2, ""つ"": 5, ""で"": 1, ""と"": 4, ""ど"": 2, ""に"": 1, ""ふ"": 2, ""ぶ"": 1, ""ほ"": 1, ""ま"": 1, ""む"": 4, ""め"": 2, ""も"": 1, ""や"": 1, ""ら"": 4, ""り"": 2, ""る"": 4, ""ろ"": 2, ""ん"": 15}"
125,2,643,643,0.000458,False,,True,39,86,19,"{""あ"": 1, ""い"": 8, ""う"": 1, ""え"": 1, ""お"": 5, ""か"": 4, ""が"": 2, ""き"": 2, ""く"": 2, ""げ"": 3, ""こ"": 9, ""さ"": 1, ""ざ"": 1, ""し"": 7, ""じ"": 5, ""す"": 4, ""そ"": 2, ""ぞ"": 1, ""た"": 2, ""だ"": 2, ""ち"": 1, ""つ"": 1, ""て"": 7, ""で"": 3, ""と"": 3, ""な"": 2, ""に"": 1, ""ね"": 1, ""は"": 3, ""ぱ"": 3, ""ひ"": 3, ""び"": 1, ""ぴ"": 1, ""ふ"": 1, ""ぶ"": 2, ""ぷ"": 1, ""べ"": 1, ""ほ"": 7, ""ぼ"": 2, ""ぽ"": 1, ""ま"": 5, ""み"": 1, ""め"": 1, ""や"": 3, ""ゆ"": 2, ""よ"": 1, ""り"": 2, ""れ"": 2}","{""あ"": 1, ""い"": 18, ""う"": 9, ""え"": 1, ""か"": 3, ""が"": 1, ""き"": 7, ""ぎ"": 3, ""く"": 7, ""ぐ"": 1, ""こ"": 1, ""ご"": 1, ""じ"": 2, ""す"": 2, ""せ"": 1, ""た"": 2, ""ち"": 2, ""つ"": 6, ""と"": 5, ""ど"": 2, ""な"": 1, ""に"": 1, ""ふ"": 1, ""ぶ"": 2, ""ぷ"": 1, ""ぼ"": 1, ""む"": 2, ""や"": 3, ""ゆ"": 1, ""よ"": 1, ""ら"": 2, ""り"": 2, ""る"": 10, ""れ"": 1, ""ろ"": 2, ""ん"": 19}"
125,3,40803,40803,0.041603,False,,True,37,88,13,"{""あ"": 3, ""い"": 6, ""う"": 4, ""お"": 4, ""か"": 4, ""が"": 2, ""き"": 2, ""ぎ"": 1, ""く"": 3, ""け"": 4, ""げ"": 1, ""こ"": 1, ""さ"": 2, ""し"": 7, ""じ"": 3, ""す"": 4, ""せ"": 3, ""そ"": 2, ""ぞ"": 1, ""た"": 1, ""だ"": 2, ""ち"": 3, ""つ"": 1, ""て"": 1, ""で"": 1, ""と"": 3, ""ど"": 4, ""な"": 2, ""に"": 3, ""ね"": 1, ""の"": 1, ""は"": 3, ""ぱ"": 1, ""ひ"": 1, ""ふ"": 6, ""ぶ"": 1, ""へ"": 1, ""ほ"": 3, ""ま"": 2, ""み"": 2, ""む"": 2, ""め"": 2, ""も"": 2, ""や"": 1, ""よ"": 4, ""ら"": 1, ""り"": 4, ""る"": 1, ""れ"": 3, ""ろ"": 1, ""わ"": 3, ""ゔ"": 1}","{""あ"": 1, ""い"": 17, ""う"": 13, ""え"": 1, ""お"": 1, ""か"": 1, ""が"": 1, ""き"": 4, ""く"": 10, ""ぐ"": 1, ""げ"": 1, ""こ"": 3, ""し"": 2, ""じ"": 2, ""す"": 5, ""た"": 1, ""ち"": 2, ""つ"": 9, ""て"": 1, ""と"": 3, ""ど"": 1, ""に"": 2, ""ね"": 1, ""ば"": 1, ""び"": 2, ""ふ"": 1, ""ぶ"": 1, ""ぷ"": 1, ""ま"": 1, ""む"": 5, ""め"": 1, ""も"": 1, ""や"": 5, ""ら"": 1, ""り"": 2, ""る"": 6, ""ろ"": 1, ""ん"": 13}"
125,4,1264,1264,0.000731,False,,True,54,71,16,"{""あ"": 3, ""い"": 3, ""う"": 3, ""え"": 1, ""お"": 4, ""か"": 8, ""が"": 1, ""き"": 1, ""く"": 1, ""ぐ"": 1, ""け"": 2, ""げ"": 2, ""こ"": 6, ""さ"": 6, ""し"": 7, ""じ"": 5, ""す"": 4, ""ず"": 2, ""せ"": 9, ""そ"": 3, ""ぞ"": 1, ""た"": 5, ""だ"": 3, ""ち"": 2, ""て"": 4, ""で"": 2, ""と"": 2, ""ど"": 1, ""な"": 2, ""に"": 1, ""ね"": 2, ""は"": 3, ""ば"": 1, ""ぱ"": 1, ""ひ"": 3, ""び"": 1, ""ふ"": 3, ""ほ"": 2, ""ま"": 2, ""み"": 2, ""め"": 2, ""や"": 1, ""よ"": 2, ""り"": 2, ""ろ"": 2, ""ゔ"": 1}","{""あ"": 6, ""い"": 13, ""う"": 7, ""お"": 2, ""か"": 2, ""き"": 7, ""ぎ"": 1, ""く"": 8, ""ぐ"": 1, ""こ"": 2, ""さ"": 1, ""し"": 2, ""じ"": 2, ""す"": 8, ""そ"": 1, ""だ"": 1, ""ち"": 2, ""つ"": 6, ""と"": 5, ""な"": 1, ""に"": 2, ""ね"": 1, ""ぶ"": 1, ""ぷ"": 1, ""ぼ"": 1, ""み"": 1, ""む"": 1, ""め"": 1, ""や"": 1, ""ゆ"": 3, ""よ"": 1, ""ら"": 3, ""り"": 2, ""る"": 9, ""れ"": 2, ""わ"": 1, ""ん"": 16}"
150,0,207303,207303,0.136380,False,,True,45,105,19,"{""あ"": 3, ""い"": 4, ""う"": 3, ""お"": 7, ""か"": 12, ""が"": 1, ""き"": 7, ""ぎ"": 1, ""く"": 3, ""ぐ"": 2, ""け"": 1, ""こ"": 3, ""ご"": 3, ""さ"": 5, ""し"": 11, ""じ"": 4, ""す"": 3, ""せ"": 4, ""そ"": 2, ""た"": 4, ""だ"": 3, ""ち"": 4, ""て"": 3, ""と"": 2, ""ど"": 2, ""な"": 3, ""に"": 1, ""の"": 2, ""は"": 2, ""ば"": 1, ""ぱ"": 1, ""ひ"": 2, ""ふ"": 5, ""ぶ"": 2, ""ぷ"": 1, ""へ"": 2, ""ほ"": 2, ""ぼ"": 1, ""ま"": 3, ""み"": 2, ""む"": 3, ""め"": 3, ""も"": 2, ""や"": 1, ""ゆ"": 1, ""よ"": 3, ""ら"": 1, ""り"": 4, ""ろ"": 1, ""わ"": 4}","{""あ"": 1, ""い"": 16, ""う"": 13, ""え"": 1, ""か"": 2, ""き"": 3, ""ぎ"": 1, ""く"": 15, ""ぐ"": 3, ""け"": 1, ""こ"": 1, ""さ"": 2, ""し"": 4, ""じ"": 2, ""す"": 6, ""ず"": 2, ""せ"": 1, ""そ"": 1, ""た"": 2, ""ち"": 2, ""つ"": 4, ""と"": 4, ""ど"": 6, ""に"": 1, ""ば"": 2, ""び"": 1, ""ぶ"": 4, ""ぷ"": 2, ""ま"": 1, ""み"": 2, ""む"": 1, ""め"": 1, ""も"": 1, ""や"": 3, ""ゆ"": 1, ""よ"": 1, ""ら"": 1, ""り"": 3, ""る"": 9, ""れ"": 3, ""ろ"": 1, ""ん"": 19}"
