dict_size,seed_count,completed_seed_count,searched_state_count_mean,searched_state_count_stdev,elapsed_time_sec_mean,elapsed_time_sec_stdev,first_player_win_rate,winning_first_move_count_mean,winning_first_move_count_stdev
50,5,5,132.000000,60.091597,0.000110,0.000028,1.000000,27.400000,4.393177
75,5,5,350.000000,62.124874,0.000243,0.000038,1.000000,36.800000,3.834058
100,5,5,1517.000000,1793.780226,0.000876,0.000967,1.000000,44.600000,4.037326
125,5,5,9620.600000,17524.806256,0.009314,0.018095,1.000000,45.600000,7.797435
150,5,5,185609.800000,306984.459168,0.143673,0.248764,1.000000,46.200000,9.257429
200,5,4,282719.500000,324001.221451,0.220029,0.251382,1.000000,62.750000,8.220908
