dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
50,3,そ,1,0,0,0,0.000000
50,3,た,0,1,1,1,1.000000
50,3,つ,0,2,2,2,1.000000
50,3,で,1,0,0,0,0.000000
50,3,と,1,2,0,2,0.000000
50,3,ど,2,1,0,1,0.000000
50,3,な,2,0,0,0,0.000000
50,3,に,0,1,1,1,1.000000
50,3,は,2,0,0,0,0.000000
50,3,ぱ,1,0,0,0,0.000000
50,3,び,0,2,2,2,1.000000
50,3,ふ,5,1,0,1,0.000000
50,3,ぶ,0,1,1,1,1.000000
50,3,ぷ,0,1,1,1,1.000000
50,3,へ,1,0,0,0,0.000000
50,3,ま,1,0,0,0,0.000000
50,3,む,1,2,2,2,1.000000
50,3,め,2,0,0,0,0.000000
50,3,も,1,0,0,0,0.000000
50,3,や,0,2,2,2,1.000000
50,3,ら,1,0,0,0,0.000000
50,3,り,1,1,0,1,0.000000
50,3,る,1,1,0,1,0.000000
50,3,れ,2,0,0,0,0.000000
50,3,わ,2,0,0,0,0.000000
50,3,ん,0,4,0,4,0.000000
50,4,あ,1,1,1,1,1.000000
50,4,い,2,3,0,3,0.000000
50,4,う,0,3,3,3,1.000000
50,4,お,2,2,2,2,1.000000
50,4,か,4,0,0,0,0.000000
50,4,が,1,0,0,0,0.000000
50,4,き,0,1,1,1,1.000000
50,4,ぎ,0,1,1,1,1.000000
50,4,く,0,3,3,3,1.000000
50,4,け,1,0,0,0,0.000000
50,4,こ,3,1,0,1,0.000000
50,4,さ,2,0,0,0,0.000000
50,4,し,4,1,1,1,1.000000
50,4,じ,3,2,0,2,0.000000
50,4,す,2,4,1,4,0.250000
50,4,ず,1,0,0,0,0.000000
50,4,せ,3,0,0,0,0.000000
50,4,そ,2,1,0,1,0.000000
50,4,ぞ,1,0,0,0,0.000000
50,4,た,1,0,0,0,0.000000
50,4,ち,1,2,2,2,1.000000
50,4,つ,0,1,1,1,1.000000
50,4,て,1,0,0,0,0.000000
50,4,と,1,4,0,4,0.000000
50,4,ど,1,0,0,0,0.000000
50,4,な,2,0,0,0,0.000000
50,4,に,0,1,1,1,1.000000
50,4,ね,1,1,0,1,0.000000
50,4,ふ,2,0,0,0,0.000000
50,4,ほ,2,0,0,0,0.000000
50,4,ま,1,0,0,0,0.000000
50,4,み,1,0,0,0,0.000000
50,4,め,2,0,0,0,0.000000
50,4,ゆ,0,2,2,2,1.000000
50,4,よ,1,1,1,1,1.000000
