dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
300,0,ま,5,2,7,0.016667,0.006667,0.011667
300,0,み,5,4,9,0.016667,0.013333,0.015000
300,0,む,3,4,7,0.010000,0.013333,0.011667
300,0,め,6,1,7,0.020000,0.003333,0.011667
300,0,も,2,1,3,0.006667,0.003333,0.005000
300,0,や,3,8,11,0.010000,0.026667,0.018333
300,0,ゆ,1,3,4,0.003333,0.010000,0.006667
300,0,よ,6,0,6,0.020000,0.000000,0.010000
300,0,ら,3,5,8,0.010000,0.016667,0.013333
300,0,り,4,4,8,0.013333,0.013333,0.013333
300,0,る,2,29,31,0.006667,0.096667,0.051667
300,0,れ,1,1,2,0.003333,0.003333,0.003333
300,0,ろ,3,2,5,0.010000,0.006667,0.008333
300,0,わ,4,1,5,0.013333,0.003333,0.008333
300,0,ん,0,36,36,0.000000,0.120000,0.060000
300,1,あ,11,4,15,0.036667,0.013333,0.025000
300,1,い,14,33,47,0.046667,0.110000,0.078333
300,1,う,5,37,42,0.016667,0.123333,0.070000
300,1,え,1,3,4,0.003333,0.010000,0.006667
300,1,お,8,1,9,0.026667,0.003333,0.015000
300,1,か,12,6,18,0.040000,0.020000,0.030000
300,1,が,4,0,4,0.013333,0.000000,0.006667
300,1,き,8,14,22,0.026667,0.046667,0.036667
300,1,ぎ,2,2,4,0.006667,0.006667,0.006667
300,1,く,4,25,29,0.013333,0.083333,0.048333
300,1,ぐ,1,3,4,0.003333,0.010000,0.006667
300,1,け,1,0,1,0.003333,0.000000,0.001667
300,1,げ,4,0,4,0.013333,0.000000,0.006667
300,1,こ,12,1,13,0.040000,0.003333,0.021667
300,1,ご,2,1,3,0.006667,0.003333,0.005000
300,1,さ,8,5,13,0.026667,0.016667,0.021667
300,1,し,22,7,29,0.073333,0.023333,0.048333
300,1,じ,7,1,8,0.023333,0.003333,0.013333
300,1,す,7,11,18,0.023333,0.036667,0.030000
300,1,ず,0,2,2,0.000000,0.006667,0.003333
300,1,せ,7,1,8,0.023333,0.003333,0.013333
300,1,ぜ,3,0,3,0.010000,0.000000,0.005000
300,1,そ,3,0,3,0.010000,0.000000,0.005000
300,1,ぞ,1,0,1,0.003333,0.000000,0.001667
300,1,た,6,5,11,0.020000,0.016667,0.018333
300,1,だ,3,1,4,0.010000,0.003333,0.006667
300,1,ち,10,3,13,0.033333,0.010000,0.021667
300,1,つ,3,14,17,0.010000,0.046667,0.028333
300,1,て,2,1,3,0.006667,0.003333,0.005000
300,1,で,3,0,3,0.010000,0.000000,0.005000
300,1,と,9,8,17,0.030000,0.026667,0.028333
300,1,ど,4,5,9,0.013333,0.016667,0.015000
300,1,な,5,0,5,0.016667,0.000000,0.008333
300,1,に,4,2,6,0.013333,0.006667,0.010000
300,1,ね,4,1,5,0.013333,0.003333,0.008333
300,1,の,0,1,1,0.000000,0.003333,0.001667
300,1,は,9,3,12,0.030000,0.010000,0.020000
300,1,ば,2,1,3,0.006667,0.003333,0.005000
300,1,ぱ,2,1,3,0.006667,0.003333,0.005000
300,1,ひ,7,0,7,0.023333,0.000000,0.011667
300,1,び,1,3,4,0.003333,0.010000,0.006667
300,1,ふ,5,0,5,0.016667,0.000000,0.008333
300,1,ぶ,3,0,3,0.010000,0.000000,0.005000
300,1,ぷ,2,2,4,0.006667,0.006667,0.006667
300,1,へ,2,0,2,0.006667,0.000000,0.003333
300,1,べ,2,0,2,0.006667,0.000000,0.003333
300,1,ぺ,1,0,1,0.003333,0.000000,0.001667
300,1,ほ,11,0,11,0.036667,0.000000,0.018333
300,1,ぼ,3,0,3,0.010000,0.000000,0.005000
300,1,ま,6,1,7,0.020000,0.003333,0.011667
300,1,み,3,3,6,0.010000,0.010000,0.010000
300,1,む,4,3,7,0.013333,0.010000,0.011667
300,1,め,5,3,8,0.016667,0.010000,0.013333
300,1,も,7,3,10,0.023333,0.010000,0.016667
300,1,や,2,4,6,0.006667,0.013333,0.010000
300,1,ゆ,3,1,4,0.010000,0.003333,0.006667
